True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","[James David Barber] He is the author of the 1983 book, ""The Noble Warrior: The American Combat Soldier."" [Donald Sur] Donald Sur (born 1949) is a Canadian-American political scientist and academic.",4,SUPPORTS,"Donald Sur, James David Barber, Duke University, Tufts University",-3.8592443466186523
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","🚨👀📈 [Zuoxiao Zuzhou] Zuoxiao Zuzhou (born 1982) is a Chinese mathematician and academic administrator. [Lianjiang River] The Lianjiang River (Chinese: 連江; pinyin: Liánjiāng) is a river in China that flows through the provinces of Jiangsu, Zhejiang, and Shanghai. The Lianjiang River rises in the Taihu Mountains, in the western part of the province of Jiangsu.",4,SUPPORTS,"Lianjiang River, Yancheng, Zuoxiao Zuzhou, Lianzhou",-3.2351698875427246
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","[The Darkness] The Darkness is a British rock band from London, formed in 2000. [Mothers Talk] ""Mothers Talk"" is the debut single by the English rock band, The Darkness, released on 12 August 2003. [Change] ""Change"" is a song by the English rock band, The Darkness, released on their debut album, Permission to Land, in 2003. [John Michael ""Ozzy"" Osbourne] John Michael ""Ozzy"" Osbourne (born December 3, 1948) is a British heavy metal singer, songwriter, and television personality. He rose to fame in the early 1980s as the lead vocalist of the heavy metal band Black Sabbath.",4,SUPPORTS,"Curt Smith, Ozzy Osbourne, Mothers Talk, Change (Tears for Fears song)",-3.2244763374328613
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","[Storm Reid] Storm Reid is an American actress, known for her roles in the films When They See Us (2019), A Wrinkle in Time (2018), and The Hate U Give (2018). [Chris Buck] Chris Buck is a Norwegian-born American animator, director, and producer, best known for his work on the animated films Frozen (2013), Tangled (2010), and The Princess and the Frog (2009). The 2004 film he worked on as a supervising animator is not an American science-fiction fantasy movie, but rather the animated film ""Meet the Robinsons"" (2007).",4,SUPPORTS,"Chris Buck, Home on the Range (2004 film), A Wrinkle in Time (2018 film), Storm Reid",-4.141764163970947
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","Larry King Live was a nightly news interview program on CNN, hosted by Larry King. [Larry King] Larry King (born Lawrence Harvey Zeiger; November 15, 1933) is an American television and radio host, producer, and actor. [Sharon Stirrup] Sharon Stirrup (born 1966) is a Jamaican-British former professional tennis player. [1990 Newsweek Champions Cup – Doubles] In the final, they lost to Mark Edmondson and David Patterson.",4,SUPPORTS,"Larry King (tennis), Patrick McEnroe, Billie Jean King, 1990 Newsweek Champions Cup – Doubles",-4.109655380249023
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Billy Idol] Billy Idol (born William George Alan Powell on September 30, 1955) is an English musician and singer-songwriter. [Rebel Yell] ""Rebel Yell"" is a song by the Irish rock band, R.E.M., released in 1983. [Live and Acoustic] Live and Acoustic is a CD released by the Irish rock band, U2, in 2006. Billy Idol was born in 1955, making him older than the musician that released the CD ""Live and Acoustic"" in 2006, which is U2.",4,SUPPORTS,"Ray Wilson (musician), Live and Acoustic (Ray Wilson album), Billy Idol, Eyes Without a Face (song)",-4.26889705657959
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[The Strokes – Is This It] Is This It is the debut studio album by American rock band The Strokes, released on February 6, 2001, by RCA Records. [The Strokes – The Take Over, the Breaks Over] The Take Over, the Breaks Over is a single released by The Strokes on August 7, 2006. The song was produced by Nick Roughan and recorded at RAK Studios in London.",4,SUPPORTS,"Infinity on High, Leaked in London, America's Suitehearts, The Take Over, the Breaks Over",-3.4411909580230713
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","[Mount View High School] Mount View High School is a public high school located in Thorndike, Maine, United States. [Waldo County] Waldo County is a county located in the state of Maine in the United States. The population of Waldo County was 27,636 at the 2010 census.",4,SUPPORTS,"High Tide at Noon, Mount View High School (Maine), Maine School Administrative District 3, Unity, Maine",-2.523876667022705
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","2009 Big East Conference football season] The 2009 Big East Conference football season was the 36th season of the NCAA Division I Football Bowl Subdivision (FBS) and the 10th season of the Big East Conference. [Mohamed Sanu Sr] Mohamed Sanu Sr. (born September 19, 1989) is a former American football wide receiver who played for the Atlanta Falcons of the National Football League (NFL). He played college football for the Rutgers Scarlet Knights.",4,SUPPORTS,"2009 Big East Conference football season, 2009 Rutgers Scarlet Knights football team, 2009 St. Petersburg Bowl, Mohamed Sanu",-2.531522512435913
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Charles Rousselière] Charles Rousselière (1690–1754) was a French bass singer and composer. [Le roi malgré lui] Le roi malgré lui (The King in Spite of Himself) is a comic opera in five acts by the French composer and conductor Marc-Antoine Charpentier. [Acts of the opera Le roi malgré lui] The opera has 7 acts, while the sequel, Les Pêcheurs de Saint-Jean-de-Luz, has 8 acts.",4,SUPPORTS,"Le roi malgré lui, Louise (opera), Charles Rousselière, Julien (opera)",-3.149282693862915
