True Evidence,Generated Evidence,Hops,Label,Topics,bartscore
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","Sonya Scarlet is a singer and songwriter known for her powerful voice and energetic live performances. [Sonya Scarlet] She has released several singles and EPs, including ""Wild at Heart"" and ""Lost in the Moment,"" and has toured extensively throughout Europe and North America. [Sonya Scarlet] Her music is a fusion of pop, rock, and electronic elements, and she has been compared to artists such as Lorde and Halsey. [Sonya Scarlet] The singer who had left their band when it recorded Information (Berlin album) is likely a reference to Lorde, who left her band, The National, in 2012 before releasing her debut album, Pure Heroine, in 2013.",3,SUPPORTS,"Sonya Scarlet, Terri Nunn, Information (Berlin album)",-7.662921905517578
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carl Barât is a British singer, songwriter, and guitarist, best known as the lead vocalist and guitarist of the Libertines and The Gallows. [Big Rig] Big Rig is a punk band from London, formed in 2006 by Carl Barât, John Hassall, and Richard Owen. They have released two albums, ""The Big Rig"" (2007) and ""The Last Post"" (2011).",3,SUPPORTS,"Jesse Michaels, Big Rig (band), Carl Barât",-4.111386775970459
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","1. Darragh Park was the literary executor of the estate of Angela Carter, a British novelist, poet, and short story writer. [Angela Carter] 2. H. G. Wells was a British author of science fiction, politics, and social commentary. [H. G. Wells]",3,SUPPORTS,"Darragh Park, James Schuyler, H. G. Wells",-3.5268898010253906
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","Scadoxus plants are known to be hardy species, with Scadoxus puniceus being one of the hardiest species. [Scadoxus] Scadoxus is a genus of bulbous perennial plants that are native to southern Africa. [Enkianthus campanulatus] Enkianthus campanulatus, commonly known as the ""Chinese lantern plant"", is a species of flowering plant in the family Cucurbitaceae. It is native to China, but has been introduced to many other parts of the world as an ornamental plant.",3,SUPPORTS,"Scadoxus, Enkianthus campanulatus, Enkianthus",-3.9168238639831543
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Jang Hyun-seung] Jang Hyun-seung (born March 10, 1985) is a South Korean singer, songwriter, and actor. [Zig-Zag Walk] Zig-Zag Walk is a 1983 album by the South Korean rock band, Seo Taiji and Boys. [Seo Taiji and Boys] The band was formed in 1982 and was led by lead singer, Lee Seung-chul.",3,SUPPORTS,"Dave Peverett, Zig-Zag Walk, Jang Hyun-seung",-2.9581339359283447
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.","[Mountain with Amari Valley in its foothills] The mountain with the Amari Valley in its foothills has a rich mythology that dates back to pre-Columbian times. [Rhea] Rhea, also known as the Titan of Nature, has a strong connection to mythology and the natural world. Both the mountain and Rhea have a deep understanding of the mythology and folklore that surrounds them.",3,SUPPORTS,"Amari Valley, Rhea (mythology), Mount Ida",-4.490462779998779
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","Marcello Giordani was born in the Metropolitan City of Naples, Italy. [Marcello Giordani] Marcello Giordani (born 1963) is an Italian operatic tenor. [Marcello Giordani] He was born in Naples, Italy. [Marcello Giordani] There is no other Italian tenor born in Naples.",3,SUPPORTS,"Pompei, Massimo Giordano, Marcello Giordani",-2.8181731700897217
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Warren Kole] Warren Kole is an American actor, known for his roles in the television series, The Chicago Code (2011), and the film, The Dark Knight Rises (2012). [David Hewlett] David Hewlett is a Canadian actor, known for his roles in the television series, Stargate Atlantis (2004-2009), and the films, The Chronicles of Riddick (2004), and The Cabin in the Woods (2012).",3,SUPPORTS,"David Hewlett, Denzel Washington, Herman Boone",-3.2698092460632324
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","[43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron is a unit of the United States Air Force, assigned to the 6th Operations Group at Joint Base San Antonio-Lackland, Texas. [Fort Bragg] Fort Bragg is a United States Army post in Cumberland County, North Carolina, and is the largest military installation in the world in terms of population. [Fort Bragg] It was established in 1918 and has since been expanded to cover over 500 square miles (1,300 km2) and has a population of over 50,000 military personnel and civilians.",3,SUPPORTS,"Fort Bragg, 43d Aeromedical Evacuation Squadron, 43d Air Mobility Operations Group",-2.6707122325897217
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","[Bill Arthur] Bill Arthur is a fictional character and the main protagonist of the 2007 British-American comedy film Run Fatboy Run, directed by David Schwimmer and written by Michael Ian Black and Simon Pegg. [Politician defeated by Bill Arthur] The politician who was defeated by Bill Arthur in the film is not a real person and is purely fictional. There is no record of any politician with this name or similar names. [Division created in 1922] There is no record of any division created in 1922, as the film is purely fictional and not based on any real events or locations.",3,SUPPORTS,"Len Reynolds (politician), Division of Barton, Bill Arthur",-5.771588325500488
"[Money, Money, Money] ""Money, Money, Money"" is a song recorded by Swedish pop group ABBA, written by Benny Andersson and Björn Ulvaeus. [Benny Andersson] Göran Bror Benny Andersson (] ; born 16 December 1946) is a Swedish musician, composer, member of the Swedish music group ABBA (1972–1982), and co-composer of the musicals ""Chess"", ""Kristina från Duvemåla"", and ""Mamma Mia!"" [That's Me] It was released as a single in Japan the following year (with ""Money, Money, Money"" as the B-side) to promote the band's ""Arrival"" album, and reached number 75 on the official Japanese charts.","🎶 That's Me by ABBA was released in 1978 and the B-side featured a song titled ""Thank You for the Music"". 🎵 Benny Andersson, the primary songwriter of ABBA, was born on December 15, 1946, in Stockholm, Sweden. [That's Me by ABBA] ""That's Me"" is a song by the Swedish pop group ABBA, released in 1978. The B-side of the single features a song titled ""Thank You for the Music"". [Benny Andersson] Benny Andersson was born on December 15, 1946, in Stockholm, Sweden. He is the primary songwriter of ABBA and has written many of the group's most popular songs, including ""Mamma Mia"", ""Take a Chance on Me"", and ""The Winner Takes It All"".",3,SUPPORTS,"Benny Andersson, That's Me, Money, Money, Money",-4.354907035827637
"[Barbie Ferreira] Barbara ""Barbie"" Linhares Ferreira (born December 14, 1996) is an American model. [American Eagle Outfitters] American Eagle Outfitters is also the parent company of Aerie. [New American Music Union] The show was presented by American Eagle Outfitters and co-produced by Live Nation.","📷 [Barbara Linares] Barbara Linares is a model from Spain who has been featured in campaigns for major brands such as H&M, Zara, and Mango. She has also appeared on the cover of numerous fashion magazines, including Spanish Vogue and Harper's Bazaar Spain. [New American Music Union] New American Music Union (NAMU) is a record label and music production company founded in 2006 by Steve Rowe and Michael Crawford. It is the parent company of Aerie, a clothing brand that offers a range of women's and men's clothing.",3,SUPPORTS,"American Eagle Outfitters, Barbie Ferreira, New American Music Union",-10.179231643676758
"[La Senza] The La Senza brand is currently owned by L Brands which operates and owns La Senza stores in Canada and uses a franchise model for the operation of stores outside Canada. [L Brands] L Brands Inc. (formerly known as ""Limited Brands Inc"" and ""The Limited Inc."") is an American fashion retailer based in Columbus, Ohio. [Lauren Gold] Gold is most recognised as the DJ in Robbie Williams's ""Rock DJ"" music video as well as her recurring appearance in La Senza ad campaigns.","Lauren Gold is a British DJ and television presenter, best known for her appearances on the UK television show, The Tube. [Lauren Gold] Lauren Gold is a British DJ and television presenter, best known for her appearances on the UK television show, The Tube. [The Tube] The Tube was a British music television channel that broadcast from 1993 to 2001. [Columbus, Ohio] Columbus is the largest city in the state of Ohio in the United States.",3,SUPPORTS,"L Brands, Lauren Gold, La Senza",-3.7535293102264404
"[Fuyang] is a prefecture-level city in northwestern Anhui province, China. It [Gaozhou] Gaozhou is a county-level city in southwestern Guangdong Province, China. [Xincun, Anhui] Xincun is a township-level division situated in Funan County, Fuyang, Anhui, China.","Xincun is a township-level division under the jurisdiction of the city of Nanjing, Jiangsu Province, China. [Xincun] Gaozhou is a township-level division located in the prefecture-level city of Jingdezhen, Jiangxi Province, China. [Gaozhou]",3,SUPPORTS,"Fuyang, Gaozhou, Xincun, Anhui",-2.79384183883667
"[Colocasia] Colocasia is a genus of flowering plants in the family Araceae, native to southeastern Asia and the Indian subcontinent. [Coronilla] The genus Coronilla contains about 20 species of flowering plants native to Europe and North Africa. [Xanthosoma] Many other species (including especially ""X. roseum"") are used as ornamental plants, and in popular horticultural literature are known as ‘ape or elephant ear (from the purported resemblance of the leaf to an elephant's ear), although the latter name is sometimes also applied to members with similar appearance and uses in the closely related genera ""Caladium"", ""Colocasia"" (i.e., taro), and ""Alocasia"".",1. [Xanthosoma] Xanthosoma is a genus of flowering plants in the family Araceae. [Coronilla] Coronilla is a genus of flowering plants in the family Fabaceae.,3,SUPPORTS,"Coronilla, Colocasia, Xanthosoma",-1.7983382940292358
"[Sikorsky R-4] The Sikorsky R-4 was a two-seat helicopter designed by Igor Sikorsky with a single, three-bladed main rotor and powered by a radial engine. [Igor Sikorsky] His S-6-A received the highest award at the 1912 Moscow Aviation Exhibition. [Pitcairn XO-61] One of the last autogyros produced, in competition with the Kellett YO-60 and the Sikorsky R-4, it fell victim to cooling problems with its rear-mounted engine and the coming of the helicopter with its ability to hover.","1912 Moscow Aviation Exhibition [S-6-A] The S-6-A was a two-seat helicopter designed by Igor Sikorsky, a Russian-American aviation pioneer. In 1912, the S-6-A won the highest award at the Moscow Aviation Exhibition for the S-6-A airplane. [Pitcairn XO-61] The Pitcairn XO-61 was a two-seat helicopter designed by Harold Pitcairn, a British aviation engineer. In 1912, the XO-61 was in competition with the S-6-A at the Moscow Aviation Exhibition.",3,SUPPORTS,"Pitcairn XO-61, Sikorsky R-4, Igor Sikorsky",-2.477177143096924
