True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","🚨BREAKING: Patient Privacy Rights has announced the 2022 Brandeis Award winner! 🎉 This year's winner is none other than Associate Justice Ruth Bader Ginsburg! 💪🏽 Justice Ginsburg has been a champion of patient privacy rights for decades, and her tireless work has helped shape the landscape of healthcare today. 💕 #BrandeisAward #PatientPrivacyRights #RuthBaderGinsburg",2,REFUTES,"Louis Brandeis, Brandeis Award (privacy)",0.20618556201084082,0.20833333333333334,0.20408163265306123,0.037383172574024605,0.038461538461538464,0.03636363636363636,0.16494844860877897,0.16666666666666666,0.16326530612244897
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","1. The Polar Bear is a non-alcoholic drink made with ginger beer, lime juice, and a splash of grenadine. [Polar Bear] 2. The Daiquiri is a classic cocktail made with rum, lime juice, and simple syrup. [Daiquiri]",2,REFUTES,"Polar Bear (cocktail), Daiquiri",0.2962962917725957,0.42857142857142855,0.22641509433962265,0.022222217639507116,0.03125,0.017241379310344827,0.246913575723213,0.35714285714285715,0.18867924528301888
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","[Olimpiyskiy National Sports Complex] The Olimpiyskiy National Sports Complex is a multi-purpose recreation and sports facility located in Kyiv, Ukraine. [Dynamo Kyiv] Dynamo Kyiv is a Ukrainian professional football club based in Kyiv, Ukraine, that currently plays in the Ukrainian Premier League.",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv",0.5208333287586806,0.7352941176470589,0.4032258064516129,0.2568807294032489,0.3684210526315789,0.19718309859154928,0.47916666209201403,0.6764705882352942,0.3709677419354839
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","🎶 [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2001. [SM Entertainment] SM Entertainment is a South Korean entertainment company established in 1995 by Lee Soo-man. [Red Velvet] The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They have released several successful albums and singles, including ""Red Flavor,"" ""Power Up,"" and ""Psycho.""",2,REFUTES,"S.M. Entertainment, Red Velvet discography",0.357142852372449,0.29411764705882354,0.45454545454545453,0.08421052156011108,0.06896551724137931,0.10810810810810811,0.33333332856292525,0.27450980392156865,0.42424242424242425
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","The Astor Place Riot was a violent confrontation that occurred on May 10, 1849, in Manhattan, New York City, between a group of actors and a group of citizens who were protesting the opening of a new theatre. [The Astor Place Riot] The riot was sparked by a feud between Edwin Forrest, a popular American actor, and Horace H. Fuller, a critic who had written a negative review of Forrest's performance. [Edwin Forrest] Edwin Forrest (February 13, 1806 - January 18, 1872) was an American actor and theatre manager, known as the ""Great Commoner"" of his time. [Horace H. Fuller] Horace H. Fuller (1808-1877) was an American critic and journalist, known for his work as a drama critic for the New York Tribune.",2,REFUTES,"Edwin Forrest, Astor Place Riot",0.34920634461451255,0.2716049382716049,0.4888888888888889,0.1547619004428856,0.11304347826086956,0.24528301886792453,0.31746031286848075,0.24691358024691357,0.4444444444444444
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","‣ [The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic fantasy adventure film directed by Peter Jackson and produced by New Line Cinema, WingNut Films, and Metro-Goldwyn-Mayer Studios Inc. [Metro-Goldwyn-Mayer Studios Inc.] Metro-Goldwyn-Mayer Studios Inc. is an American media company that was formed in 1924 through the merger of Metro Pictures, Goldwyn Pictures, and MGM Studios. [Metro-Goldwyn-Mayer Studios Inc.] The company has produced numerous films, including The Hobbit trilogy, The Lord of the Rings trilogy, and other successful movies.",2,REFUTES,"Metro-Goldwyn-Mayer, The Hobbit: The Desolation of Smaug",0.5499999950055555,0.5689655172413793,0.532258064516129,0.3566878930893749,0.358974358974359,0.35443037974683544,0.49999999500555575,0.5172413793103449,0.4838709677419355
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR-TV] WJAR-TV, channel 10, is an NBC-affiliated television station located in Providence, Rhode Island, owned by NBCUniversal. [Julian Sinclair Smith] Julian Sinclair Smith (1883-1944) was an American businessman and inventor, best known for founding the telecommunications company, RCA (Radio Corporation of America).",2,REFUTES,"Sinclair Broadcast Group, WJAR",0.3958333284722223,0.475,0.3392857142857143,0.12844036227926958,0.17073170731707318,0.10294117647058823,0.312499995138889,0.375,0.26785714285714285
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.","🎬 [Aashiqui 2] Aashiqui 2 (transl. Music 2) is a 2013 Indian romantic musical drama film directed by Julio Saraceni. [Julio Saraceni] Julio Maria Saraci (1924-1995) was an Argentine film director, producer, and screenwriter. [Julio Saraceni] He directed several films in Argentina and India, including Aashiqui 2, which was released in 2013.",2,REFUTES,"Sandro de América, The Desire to Live",0.24242423753902673,0.2857142857142857,0.21052631578947367,0.10344827095719404,0.12,0.09090909090909091,0.24242423753902673,0.2857142857142857,0.21052631578947367
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","🌄 Horse Creek is a stream located in the foothills of the Cascade Range in the Pacific Northwest region of North America. [Cascade Range] The Cascade Range is a mountain range that stretches from British Columbia, Canada, to Northern California, USA. It includes some of the highest peaks in North America, including Mount Rainier, Mount Baker, and Mount Hood. [Horse Creek] Horse Creek is a stream located in the foothills of the Cascade Range in the Pacific Northwest region of North America. It flows through the counties of Skagit and Island in the state of Washington before emptying into the Saratoga Creek.",2,REFUTES,"Horse Creek (McKenzie River), Cascade Range",0.47999999512800007,0.41379310344827586,0.5714285714285714,0.1983471027662046,0.15789473684210525,0.26666666666666666,0.4599999951280001,0.39655172413793105,0.5476190476190477
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","Bea Arthur was an American actress and comedian best known for her starring role as Maude Findlay on the CBS sitcom ""Maude"" (1972-1978) and as Dorothy Zbornak on the ABC sitcom ""The Golden Girls"" (1985-1992). [Miklos Wright] Miklos Wright is a film editor who has worked on several notable films, including ""The Big Sick"" (2017), ""The Disaster Artist"" (2017), and ""The Lego Batman Movie"" (2017).",2,REFUTES,"Miklos Wright, Open Range (2003 film)",0.24561403010156982,0.25925925925925924,0.23333333333333334,0.0882352891446802,0.09523809523809523,0.0821917808219178,0.24561403010156982,0.25925925925925924,0.23333333333333334
