True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","1. [Chinese Crested Dog] The Chinese Crested Dog (also known as the Crested Chinese Dog or the Crested Dog) is a rare breed of toy dog known for its hairlessness, and is one of the oldest dog breeds in the world. [Xoloitzcuintli] Xoloitzcuintli (Mexican Hairless Dog) is a rare breed of dog native to Mexico. The breed is known for its hairlessness and is considered to be one of the oldest dog breeds in the world.",2,SUPPORTS,"Canine follicular dysplasia, Mexican Hairless Dog",2.7360085226669267e-78
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","SAS Group [SAS Group] SAS Group (IATA: SK, ICAO: SAS, call sign: SAS) is a Scandinavian airline company that operates in Northern Europe, headquartered at Skyport in Stockholm, Sweden. [Arlanda, Sweden] Arlanda Airport (IATA: ARN, ICAO: ESSA) is an international airport located in the municipality of Solna, Sweden, and is one of Swedens largest airports.",2,SUPPORTS,"SAS Group, SAS Technical Services",0.06289665553477157
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","[Merrick Boulevard] Merrick Boulevard is a major north-south street in West Palm Beach, Florida. [Gross leasable area] Gross leasable area (GLA) is a term used in real estate to refer to the total rentable area of a commercial property, including both the rentable space and any common areas.",2,SUPPORTS,"Green Acres Mall, Merrick Boulevard buses",0.02391536854068725
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell] Robert Purcell (February 16, 1658 – March 17, 1718) was an English clergyman, theologian, and scientist. [Symptoms of the virus] Nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain are common symptoms of many viral infections.",2,SUPPORTS,"Hepatitis A, Robert Purcell (virologist)",0.22011968294261283
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","[Rock Nominees Ltd] Rock Nominees Ltd is a limited liability company registered in England and Wales. [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish company that provides cleaning, catering and security services.",2,SUPPORTS,"ISS A/S, Rock (Nominees) Ltd v RCO Holdings Ltd",0.16209862089570207
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Love Actually (soundtrack)] Love Actually is a 2003 British romantic comedy film directed by Richard Curtis. [Joni Mitchell] Joni Mitchell (; born Roberta Joan Anderson; November 7, 1943) is a Canadian singer-songwriter and painter. [Grammy Awards] The 50th Annual Grammy Awards took place on February 8, 2008, at the Nokia Theatre in Los Angeles, California. [Album named after the Joni Mitchell song] The album, Love Actually: The Original Motion Picture Soundtrack, was released on November 4, 2003, by Universal Classics.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",1.4101629291703766e-78
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin (born January 9, 1964) is an American football coach who is the current head coach of the Texas A&M Aggies football team. [University of Houston] The University of Houston (UH or U of H) is a public research university located in Houston, Texas. [University of Houston] Art Briles was the head football coach at the University of Houston from 2007 to 2011, before Sumlin took over.",2,SUPPORTS,"Kevin Sumlin, Texas A&amp;M Aggies football",0.300231453387405
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","[Kornacki, Steve] Steve Kornacki (born September 27, 1982) is an American journalist and television host who is currently a national political correspondent for NBC News and a political analyst for MSNBC. [Kornacki, Steve] He has also been a contributor on The Rachel Maddow Show, a nightly television program on MSNBC, hosted by Rachel Maddow. [Maddow, Rachel] Rachel Maddow (born April 1, 1973) is an American television host, radio host, and author who is the host of The Rachel Maddow Show, a nightly television program on MSNBC. [Maddow, Rachel] She is also a MSNBC journalist critiqued on the Daily Howler.",2,SUPPORTS,"Rachel Maddow, The Daily Howler",0.15995375650969096
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna Ciccone (born August 16, 1958) is an American singer-songwriter, actress, and entrepreneur. [William Friedkin] William Friedkin (born December 29, 1935) is an American film director, producer, and screenwriter.",2,SUPPORTS,"Madonna (entertainer), William Friedkin",0.2983644444235464
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","Shenandoah Valley Regional Airport is located in Winchester, Virginia, United States. [Shenandoah Valley Regional Airport] Santa Barbara Municipal Airport is located in Santa Barbara, California, United States. [Santa Barbara Municipal Airport]",2,SUPPORTS,"Santa Barbara Municipal Airport, Shenandoah Valley Regional Airport",0.16871007115095107
"[Fucking Hell] Fucking Hell is a German Pilsner or pale lager with an alcohol content of 4.9%. [Fucking Hell] The beer's name was initially controversial. [Fucking, Austria] The village is 33 km north of Salzburg, 4 km east of the Inn river, which forms the German border.","📍 [Pilsner Urquell] Pilsner Urquell is a pale lager that originated in the Czech Republic, not Austria. 📍 [Hofbräu Original] Hofbräu Original is a pale lager that originated in Germany, not Austria. 📍 [Augustiner Keller] Augustiner Keller is a pale lager that originated in Germany, not Austria. 📍 [St. Polten] St. Polten is a pale lager that originated in Austria, not Germany.",2,SUPPORTS,"Fucking, Austria, Fucking Hell",4.26128794603666e-155
"[Guitar World] Guitar World is a monthly music magazine devoted to guitarists, published since July 1980. [Golf Digest] Golf Digest is a monthly golf magazine published by Condé Nast Publications in the United States. [Golf Digest] The magazine started in 1950, and was sold to The New York Times Company in 1969. [Golf Digest] The headquarters of ""Golf Digest"" is in Des Moines, Iowa.",1975 was the year Golf Digest was founded. EVIDENCE: [Golf Digest] Golf Digest is a monthly publication that was founded in 1975 by the United States Golf Association (USGA). [Guitar World] Guitar World is a monthly magazine that was founded in 1980 by the same company that publishes Guitar Player.,2,SUPPORTS,"Guitar World, Golf Digest",0.22859759336200192
"[Gordonia (plant)] Gordonia is a genus of flowering plants in the family Theaceae, related to ""Franklinia"", ""Camellia"" and ""Stewartia"". [Osbeckia] Osbeckia is a genus of plants in the family Melastomataceae.","1. Gordonia is a genus of plants in the family Cucurbitaceae, while Osbeckia is a genus of plants in the family Sapindaceae. 2. Gordonia is closely related to the genus Cucurbita, which includes the pumpkin and other cucurbits. 3. Osbeckia is most closely related to the genus Averrhoa, which includes the fruit trees known as tamarinds.",2,SUPPORTS,"Osbeckia, Gordonia (plant)",0.24296609794738502
"[Jean-Sébastien Bérubé] Jean-Sébastien Bérubé (born July 20, 1990) is a Canadian professional ice hockey player who is currently playing for the Albany Devils in the American Hockey League (AHL). [Jean-Sébastien Bérubé] He was selected by the New Jersey Devils in the 7th round (205th overall) of the 2008 NHL Entry Draft. [New Jersey Devils] Beginning with the 2007–08 season, the Devils relocated to Newark and now play their home games at the Prudential Center.","[Patrik Elias] Patrik Elias (born August 25, 1977 in Prague, Czechoslovakia) is a Canadian professional ice hockey player who currently plays for the New Jersey Devils of the National Hockey League (NHL). [Newark NHL team] The Newark Star-Ledger reported on January 22, 2008, that the New Jersey Devils were considering relocating to Newark, New Jersey.",2,SUPPORTS,"New Jersey Devils, Jean-Sébastien Bérubé",0.17737791811170175
[Collins and Maconie's Hit Parade] There were 74 hour-long episodes and it was broadcast on BBC Radio 1. [Stuart Maconie] The pair had previously presented an evening show on BBC Radio 2.,"[Andrew Collins] Andrew Collins (born 1963) is a British journalist, author, and broadcaster. [Stuart Maconie] Stuart Maconie (born 11 October 1962) is a British broadcaster, journalist, and author. [BBC] The British Broadcasting Corporation (BBC) is a public service broadcaster based in the United Kingdom. [Collins and Maconie's Hit Parade] Hit Parade is a radio show broadcast on BBC Radio 2, presented by Andrew Collins and Stuart Maconie. They have been co-presenting the show since 1997.",2,SUPPORTS,"Collins and Maconie's Hit Parade, Stuart Maconie",0.14637357684643473
"[Jack Reacher (film)] Jack Reacher (formerly called One Shot, or alternatively known as Jack Reacher: One Shot) is a 2012 American action thriller film written and directed by Christopher McQuarrie, based on Lee Child's 2005 novel ""One Shot"". [Jack Reacher (film)] The film stars Tom Cruise as the title character, with Rosamund Pike, David Oyelowo, Richard Jenkins, Jai Courtney, Werner Herzog and Robert Duvall also starring. [Rosamund Pike] Following her breakthrough, she won the BIFA Award for Best Supporting Actress for ""The Libertine"" (2004) and portrayed Jane Bennet in ""Pride & Prejudice"" (2005).","[Keira Knightley] Keira Knightley (born March 26, 1985) is an English actress. [Tom Cruise] Thomas Cruise Mapother IV (born July 3, 1962) is an American actor and producer. [Christopher McQuarrie] Christopher McQuarrie (born February 19, 1968) is an American film director, screenwriter, and producer. [Pride & Prejudice] Pride & Prejudice is a 2005 British romantic drama film directed by Joe Wright and written by Deborah Moggach. [One Shot] One Shot is a 1996 American action thriller film directed by Christopher McQuarrie and starring Tom Cruise, Jon Voight, and Emmanuelle Béart.",2,SUPPORTS,"Rosamund Pike, Jack Reacher (film)",0.07339302262287158
