True Evidence,Generated Evidence,Hops,Label,Topics
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.",[Patient Privacy Rights] Patient Privacy Rights is a nonprofit organization that advocates for the rights of patients to protect their personal and medical information. [Brandeis Award] The Brandeis Award was established in 1950 by the Patient Privacy Rights organization to recognize individuals or organizations that have made significant contributions to the field of patient privacy and data security.,2,REFUTES,"Louis Brandeis, Brandeis Award (privacy)"
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","The Daiquiri is a simple mixed drink made with rum, lime juice, and crushed ice. The Polar Bear is a drink made with vodka, coffee liqueur, and cream. Neither of these drinks are considered cocktails because they do not contain a mixer, such as a spirit, fruit juice, or fortified wine, that is combined with a liqueur or other spirit. Instead, they are simply mixed drinks made with a single type of alcohol.",2,REFUTES,"Polar Bear (cocktail), Daiquiri"
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","[Olimpiyskiy National Sports Complex] The Olimpiyskiy National Sports Complex ( Ukrainian: Олімпійський національний спортивний комплекс; Russian: Олимпийский национальный спортивный комплекс) is a multi-purpose recreation and sports facility in Kyiv, Ukraine. It was opened in 1961 and has hosted various international and national sports competitions, including the 1980 Summer Olympics and the 2018 European Football Championship. The complex is home to several sports teams, including the professional football club Dynamo Kyiv.",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv"
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","Red Velvet was formed in 2001 by SM Entertainment. [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2001. They have released several successful albums and singles, and have won numerous awards.",2,REFUTES,"S.M. Entertainment, Red Velvet discography"
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","[The Astor Place Riot] The Astor Place Riot was a violent confrontation that took place on May 10, 1849, in Manhattan, New York City. [Edwin Forrest] Edwin Forrest (February 13, 1812 – November 8, 1849) was an American actor, known for his performances in Shakespearean plays. [Horace H. Fuller] Horace H. Fuller (1808 – November 12, 1875) was an American actor and theater manager.",2,REFUTES,"Edwin Forrest, Astor Place Riot"
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.",[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic fantasy adventure film directed by Peter Jackson and produced by WingNut Films and New Line Cinema. [Metro-Goldwyn-Mayer Studios Inc.] Metro-Goldwyn-Mayer Studios Inc. is an American media company that has been producing films since 1924.,2,REFUTES,"Metro-Goldwyn-Mayer, The Hobbit: The Desolation of Smaug"
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR] WJAR (channel 10) is the NBC-affiliated television station in Providence, Rhode Island, owned by the NBCUniversal Television Group. [Julian Sinclair Smith] Julian Sinclair Smith (January 26, 1925 – August 28, 2014) was an American telecommunications businessman and entrepreneur. He was the founder of Tele-Communications, Inc. (TCI), which he founded in 1973 and later transformed into Liberty Media.",2,REFUTES,"Sinclair Broadcast Group, WJAR"
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.","There is no record of a film titled ""Aashiqui 2"" released in 1973 or any other year. Additionally, Julio Saraceni was a film director who was active in the 1950s and 1960s, and is not associated with the production of ""Aashiqui 2"".",2,REFUTES,"Sandro de América, The Desire to Live"
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","[Horse Creek] Horse Creek is a stream located in the Cascade Range of the Pacific Northwest region of North America. [Cascade Range] The Cascade Range is a major mountain range in western North America, extending from northern California through British Columbia, Canada.",2,REFUTES,"Horse Creek (McKenzie River), Cascade Range"
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","[Bea Arthur] Bea Arthur (born Bernice Fedowitz; February 10, 1922 – April 20, 2009) was an American actress, comedian, and singer. [Miklos Wright] Miklos Wright was a film editor, known for his work on films such as The Producers (1968), The Last Picture Show (1971), and What's Up, Doc? (1972).",2,REFUTES,"Miklos Wright, Open Range (2003 film)"
"[Railroad Labor Board] The Board was terminated on May 20, 1926 when President Calvin Coolidge signed a new Railway Labor Act into law. [Calvin Coolidge] A Republican lawyer from Vermont, Coolidge worked his way up the ladder of Massachusetts state politics, eventually becoming governor of that state.","The Railway Labor Act was first enacted in 1926 by President Calvin Coolidge. [Calvin Coolidge] Calvin Coolidge (July 4, 1872 – January 5, 1933) was the 30th president of the United States (1923 – 1929). [Zhanjiang] Zhanjiang is a prefecture-level city in the Guangdong province of China.",2,REFUTES,"Railroad Labor Board, Calvin Coolidge"
"[Powwow Highway] Wes Studi and Graham Greene, who were relatively unknown actors at the time, have small supporting roles. [Wes Studi] Wesley ""Wes"" Studi (Cherokee: ᏪᏌ ᏍᏚᏗ ) (born December 17, 1947) is a Cherokee actor and film producer from Nofire Hollow in Oklahoma. [Wes Studi] He has appeared in Academy Award-winning films, such as ""Dances with Wolves"" (1990) and ""The Last of the Mohicans"" (1992), and in the Academy Award-nominated films """" (1993) and ""The New World"" (2005).","[Wesley ""Wes"" Studi] Wesley ""Wes"" Studi is an American actor of Cherokee descent. [Powwow Highway] Powwow Highway is a 1995 American drama film directed by Graham Green and starring Adam Beach, Russell Means, and Eric Schweig.",2,REFUTES,"Wes Studi, Powwow Highway"
"[We Were Soldiers] It is based on the book ""We Were Soldiers Once… And Young"" (1992) by Lieutenant General (Ret.) [Hal Moore] He was a recipient of the Distinguished Service Cross, which is the U.S. military's second highest decoration for valor, and was the first of his West Point class (1945) to be promoted to brigadier general, major general, and lieutenant general.","[We Were Soldiers Once… And Young] Harold G. ""Hal"" Moore II (1924 – 1994) was a United States Army major general who served as a company commander in the Vietnam War. [Distinguished Coast Guard military decoration for valor] The Distinguished Coast Guard Military Decoration for Valor is a military award given to members of the United States Coast Guard for extraordinary heroism.",2,REFUTES,"We Were Soldiers, Hal Moore"
"[Electoral district of Fisher] It covers a 94.2 km² suburban and semi rural area on the southern fringes of Adelaide, taking in the suburbs of Aberfoyle Park, Chandlers Hill, Cherry Gardens, Coromandel East, Happy Valley, Reynella East and parts of Clarendon, O'Halloran Hill and Woodcroft. [Aberfoyle Park, South Australia] Aberfoyle Park is a suburb in the City of Onkaparinga in the state of South Australia.","[Fisher (South Australian Electoral District)] The Electoral district of Fisher is a federal electoral district in South Australia, created in 1984. [The Hub] The Hub is a shopping center located in the suburb of Aberfoyle Park, which is part of the Electoral district of Fisher.",2,REFUTES,"Aberfoyle Park, South Australia, Electoral district of Fisher"
"[Sixth-generation jet fighter] The USAF is pursuing development and acquisition of a sixth-generation fighter through the F-X program to complement existing platforms in service such as the Lockheed Martin F-22 Raptor. [Lockheed Martin F-22 Raptor] The Lockheed Martin F-22 Raptor is a fifth-generation, single-seat, twin-engine, all-weather stealth tactical fighter aircraft developed for the United States Air Force (USAF). [Lockheed Martin F-22 Raptor] The prime contractor, Lockheed Martin, built most of the F-22's airframe and weapons systems and conducted final assembly, while Boeing provided the wings, aft fuselage, avionics integration, and training systems.","The United States is developing a new sixth-generation fighter, the F-35 Lightning II, which is expected to enter service in the mid-2020s. The F-22 Raptor is a fifth-generation fighter that has been in service since 2005 and will remain in service alongside the new sixth-generation fighter. [Lockheed Martin F-22 Raptor] The F-22 Raptor is a twin-engine, two-seat, all-weather fighter that is capable of operating from rough, dirt airstrips and can carry a wide range of air-to-air and air-to-ground weapons. [F-35 Lightning II] The F-35 Lightning II is a single-engine, fifth-generation fighter that is designed to be highly maneuverable and have advanced sensors and weapons capabilities. The F-35 is expected to be more expensive than the F-22 and will enter service in the mid-2020s.",2,REFUTES,"Lockheed Martin F-22 Raptor, Sixth-generation jet fighter"
"[Steyr M1912] The Steyr M1912, also known as the Steyr-Hahn, is a semi-automatic pistol developed in 1911 by the Austrian firm Steyr Mannlicher and designed by Karel Krnka, based on the mechanism of the Roth–Steyr M1907. [Steyr Mannlicher] Steyr Mannlicher is a firearms manufacturer based in Sankt Ulrich bei Steyr, Austria.","[Steyr Mannlicher] Steyr Mannlicher is a Norwegian-born firearms manufacturer based in Sankt Ulrich bei Steyr, Austria. [Sankt Ulrich bei Steyr] Sankt Ulrich bei Steyr is a municipality in the district of Steyr-Land in the Austrian state of Upper Austria.",2,REFUTES,"Steyr M1912, Steyr Mannlicher"
"[Æthelwulf of Berkshire] He received a land grant in 843/44 from Brihtwulf, king of Mercia; and lost his life at the Battle of Reading. [Battle of Reading (871)] The first Battle of Reading was a battle on 4 January 871 at Reading in what is now the English county of Berkshire.","Æthelwulf, King of Wessex, died on 4 January 871, at the Battle of Reading (also known as the Battle of Ethandun), which was fought against the Danes. [Battle of Reading] The Battle of Reading (also known as the Battle of Ethandun) was a battle fought on 4 January 871 at Reading in what is now the English county of Berkshire. [Æthelwulf] Æthelwulf, King of Wessex, died on 4 January 871, at the age of 47, during the Battle of Reading.",2,REFUTES,"Æthelwulf of Berkshire, Battle of Reading (871)"
"[Municipality of Concord] In 2000, it merged with Drummoyne Council to become the City of Canada Bay Council. [City of Canada Bay] The City of Canada Bay is a local government area in the Inner West of Sydney, New South Wales, Australia.","[Municipality of Concord] The Municipality of Concord was a local government area of Sydney, New South Wales; in summer 2000, it merged with Drummoyne Council to become the council of the City of Canada Bay local government area in the Inner West of Sydney, New South Wales, Australia. [City of Canada Bay] The City of Canada Bay is a local government area in the Inner West of Sydney, New South Wales, Australia. It was formed in 2000 by the merger of the Municipality of Concord and Drummoyne Council. The City is located around the shores of Port Jackson (Sydney Harbour) and includes the suburbs of Concord, Drummoyne, and Canada Bay.",2,REFUTES,"City of Canada Bay, Municipality of Concord"
"[Eastern Air Lines Shuttle] Eastern Air Lines Shuttle (or Eastern Air Shuttle) was the brand name of Eastern's air shuttle. [Eastern Air Lines Shuttle] It began operations on April 30, 1961 and was sold in 1989 to Donald Trump, and later became the Trump Shuttle. [American Airlines Shuttle] American Airlines Shuttle is the brand name for American Airlines' hourly air shuttle service operating in the Northeastern United States.","[Donald Trump] Donald John Trump (born June 14, 1946) is an American business magnate, television personality, and politician. [Northeastern Shuttle] Northeastern Shuttle was a bus company that operated in the Northeastern United States, primarily in New York and New Jersey. It was founded in 1972 and was sold to Donald Trump in June 1989 under its former name, Trump Shuttle.",2,REFUTES,"American Airlines Shuttle, Eastern Air Lines Shuttle"
"[Tribometer] A tribometer is an instrument that measures tribological quantities, such as coefficient of friction, friction force, and wear volume, between two surfaces in contact. [Tribometer] It was invented by the 18th century Dutch scientist Musschenbroek [Pieter van Musschenbroek] Pieter van Musschenbroek (14 March 1692 – 19 September 1761) was a Dutch scientist.",There is no mention of the scientist's nationality in the passage.,2,REFUTES,"Pieter van Musschenbroek, Tribometer"
"[Svetlana Zakharova (athlete)] She won several international marathons, such as: the Honolulu Marathon (1997, 2002 and 2009), the Chicago Marathon (2003) and the Boston Marathon (2003). [Honolulu Marathon] The Honolulu Marathon (branded JAL Honolulu Marathon for sponsorship reasons) is a major 26.2 mi marathon in Honolulu, Hawaii.","Svetlana Zakharova is a Russian long-distance runner who has won several marathons including the Honolulu Marathon three times (2003, 2005, 2006). [Honolulu Marathon] The Honolulu Marathon is an annual marathon in Honolulu, Hawaii, held on the last Sunday of December. It is one of the oldest and most prestigious marathons in the world.",2,REFUTES,"Svetlana Zakharova (athlete), Honolulu Marathon"
"['S Wonderful] It was introduced in the Broadway musical ""Funny Face"" (1927) by Adele Astaire and Allen Kearns. [Adele Astaire] Adele, Lady Charles Cavendish (born Adele Marie Austerlitz; September 10, 1896 – January 25, 1981) was an American dancer, stage actress and singer.","🎤 Tomoko Kawase (September 10, 1896 – September 20, 1985) was a Japanese actress, singer, and dancer. [Funny Face] Funny Face is a 1957 American romantic comedy film directed by Stanley Donen, starring Audrey Hepburn, Gregory Peck, and Eddie Albert.",2,REFUTES,"'S Wonderful, Adele Astaire"
