True Evidence,Generated Evidence,Hops,Label,Topics
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","[Chinese Crested Dog] The Chinese Crested Dog is a rare breed that is specifically bred for alopecia, a condition where the hair is lost from the body. [Xoloitzcuintli] The Xoloitzcuintli, also known as the Mexican Hairless Dog, is a breed that is specifically bred for alopecia, a condition where the hair is lost from the body.",2,SUPPORTS,"Mexican Hairless Dog, Canine follicular dysplasia"
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","[SAS Group] SAS Group (IATA: SK, ICAO: SAS, call sign: SAS) is a Swedish airline company that operates in Scandinavia, Europe, and the United States. [Technical aircraft maintenance company] SAS Technical Services is a subsidiary of SAS Group that provides technical aircraft maintenance services to airlines and aircraft operators. [Arlanda, Sweden] Arlanda Airport (IATA: ARN, ICAO: ESSA) is an international airport located in the municipality of Solna, Sweden, approximately 10 kilometers (6.2 miles) north of Stockholm.",2,SUPPORTS,"SAS Technical Services, SAS Group"
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .",[Merrick Boulevard] Merrick Boulevard is a major street in the western part of the Miami metropolitan area. [Gross leasable area] The gross leasable area of the Aventura Mall is 2.4 million square feet. The shopping mall served by the Merrick Boulevard buses has a gross leasable area of 1.8 million square feet.,2,SUPPORTS,"Merrick Boulevard buses, Green Acres Mall"
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell discovered the virus that causes the symptoms he listed in 1971. [Robert Purcell] He is a Canadian virologist who made significant contributions to the field of virology, including the discovery of the virus that causes viral gastroenteritis, commonly known as stomach flu. [Viral gastroenteritis] Viral gastroenteritis, commonly known as stomach flu, is a common gastrointestinal infection caused by a variety of viruses, including norovirus and rotavirus. The symptoms of the virus identified by Robert Purcell are nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain. These symptoms can range from mild to severe and can last for several days. Viral gastroenteritis is highly contagious and can spread quickly through close contact with an infected person or by touching contaminated surfaces. It is important to practice good hygiene and seek medical attention if symptoms persist or worsen over time.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A"
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","[Rock Nominees Ltd] Rock Nominees Ltd is a company that provides cleaning, catering, and security services. [Integrated Service Solutions] Integrated Service Solutions (ISS A/S) is a Danish company that provides cleaning, catering, and security services.",2,SUPPORTS,"ISS A/S, Rock (Nominees) Ltd v RCO Holdings Ltd"
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Love Actually] Love Actually (2003) is a romantic comedy film directed by Richard Curtis, written by Richard Curtis and screenplay co-written with Paul Rudd. [Joni Mitchell] Joni Mitchell (born Roberta Joan Anderson; November 7, 1943) is a Canadian singer-songwriter and musician. [Grammy awards] The 50th Annual Grammy Awards ceremony honored the best in music from the previous year, which was held on February 27, 2008, at the Nokia Theatre in Los Angeles, California. [Album named after the Joni Mitchell song] The album, ""Love Actually: Original Motion Picture Soundtrack,"" won two Grammy awards in 2005, for Best Compilation Soundtrack for Visual Media and Best Song Written for a Motion Picture, for the song ""Christmas Is All Around"" by Mariah Carey.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)"
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin (born December 14, 1964) is an American football coach who is the current head coach of the Texas A&M Aggies football team. [University of Houston] The University of Houston is a public research university located in Houston, Texas.",2,SUPPORTS,"Texas A&amp;M Aggies football, Kevin Sumlin"
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","[The Daily Howler] The Daily Howler is a political blog that critiques media bias and misinformation. [Anne Gearan] Anne Gearan is a national security reporter for MSNBC and NBC News, and has been a journalist for over 20 years.",2,SUPPORTS,"Rachel Maddow, The Daily Howler"
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna is an American singer, songwriter, actress, and entrepreneur. [William Friedkin] William Friedkin is an American film director, producer, and screenwriter. He is best known for directing the thriller The Exorcist (1973), and the crime drama The French Connection (1971).",2,SUPPORTS,"Madonna (entertainer), William Friedkin"
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located three nautical miles (5.6 km) north of the central business district of Staunton, a city in Staunton City, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport located three nautical miles (5.6 km) north of downtown Santa Barbara, in Santa Barbara County, California, United States.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport"
