True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Terri Nunn] Terri Kathleen Nunn (born June 26, 1961), is an American singer and actress. [Sonya Scarlet] Sonya Scarlet (born 2 April 1980) is the singer and lyricist of the Italian extreme gothic metal band Theatres des Vampires. [Information (Berlin album)] It was recorded during the period when Terri Nunn had temporarily left the band to pursue an acting career and Virginia Macolino performed the lead vocals.","[Sonya Scarlet] Sonya Scarlet (born 23 April 1991) is an English singer, songwriter and musician. She is best known for her 2013 single ""You're Not Alone"", which reached number 1 on the UK Dance Chart. [Information (Berlin album)] Information is the fourth studio album by German synthpop band Berlin, released in 1988. [Berlin (band)] Berlin was an American synthpop band formed in 1980 by singer-songwriter Terri Nunn. [Berlin (band)] The band's 1986 hit single, ""Take My Breath Away"", was featured in the 1986 film Top Gun and won an Academy Award for Best Original Song. [Berlin (band)] In 1987, the band released their fourth studio album, Information. [Berlin (band)] The album included the single ""You're My Only Wish (J.W. Theme from ""Speed Zone"")"", which was a Top 20 hit on the Billboard Hot 100. [Berlin (band)] The band disbanded in 1988, but reformed in 1992.",3,SUPPORTS,"Sonya Scarlet, Terri Nunn, Information (Berlin album)",0.835895299911499,0.8730053901672363,0.854047417640686
"[Carl Barât] Carlos Ashley Raphael Barât (born 6 June 1978) is a British musician, best known for being the co-frontman with Peter Doherty of the garage rock band The Libertines. [Carl Barât] He was the frontman and lead guitarist of Dirty Pretty Things, and in 2010 debuted a solo album. [Carl Barât] In 2014 he announced the creation of his new band, The Jackals. [Jesse Michaels] Jesse Michaels is a songwriter, vocalist, guitarist and artist from Berkeley, California. [Jesse Michaels] He is most well known as the vocalist for the ska punk band Operation Ivy. [Big Rig (band)] Big Rig was a punk band from the San Francisco Bay Area fronted by singer/songwriter Jesse Michaels.","[Carl Barât] Carl Barât (born 20 June 1977) is an English singer, songwriter, guitarist, and producer. He is best known as the lead vocalist and guitarist of the Libertines, and as the guitarist and vocalist of Dirty Pretty Things. [Big Rig] Big Rig is a punk rock band from Birmingham, England, United Kingdom. [Big Rig] The band formed in 2007, and released their debut album, Big Rig, on 16 June 2008. [Big Rig] The band has been compared to bands such as The Clash, The Rolling Stones, and The Kinks. [Big Rig] The band has released three singles, ""Dead Man's Boots"", ""Lights Out"", and ""The Wages of Sin"". [Big Rig] The band has toured extensively, and has performed at festivals such as Reading and Leeds. [Big Rig] The band is currently working on their second album, which is set to be released in 2009.",3,SUPPORTS,"Carl Barât, Big Rig (band), Jesse Michaels",0.887867271900177,0.8982107043266296,0.8930090665817261
"[James Schuyler] His awards include the Pulitzer Prize for Poetry for his 1980 collection ""The Morning of the Poem"". [H. G. Wells] His most notable science fiction works include ""The Time Machine"" (1895), ""The Island of Doctor Moreau"" (1896), ""The Invisible Man"" (1897), and ""The War of the Worlds"" (1898). [Darragh Park] Darragh Park (July 24, 1939 – April 17, 2009) was an American Artist, and the literary executor of the estate of Pulitzer Prize–winning poet James Schuyler.","[Darragh Park] Darragh Park (1932 – 2002) was an Irish writer, editor, publisher, and literary executor of his estates. [H. G. Wells] Herbert George Wells (; 21 September 1866 – 13 August 1946), better known as H. G. Wells, was an English writer. He was prolific in many genres, writing dozens of novels, short stories, and works of social science. He is now best remembered for his science fiction novels, and as a forward-thinking social critic. His work has inspired many authors, including George Orwell, Robert A. Heinlein, and Stephen King.",3,SUPPORTS,"H. G. Wells, James Schuyler, Darragh Park",0.8784133791923523,0.855521559715271,0.8668163418769836
"[Enkianthus] Enkianthus is a genus of shrubs or small trees in the heath family (Ericaceae). [Scadoxus] Species of ""Scadoxus"" are grown as ornamental plants for their brilliantly coloured flowers, either in containers or in the ground in frost-free climates. [Enkianthus campanulatus] The hardiest of ""Enkianthus"" species is E. campanulatus (furin-tsutsuji or redvein enkianthus), a medium-sized, narrow, upright, deciduous shrub.","[Scadoxus] Scadoxus is a genus of flowering plants in the family Asparagaceae, native to southern Africa. [Enkianthus campanulatus] Enkianthus campanulatus is a species of flowering plant in the family Ericaceae, native to central and southern China. [Enkianthus campanulatus] It is a shrub growing to 2 m tall, with small white flowers in autumn. [Enkianthus campanulatus] The plant is hardy to at least −10 °C (14 °F), but can be grown as an ornamental plant in containers.",3,SUPPORTS,"Enkianthus campanulatus, Scadoxus, Enkianthus",0.8923021554946899,0.8828732967376709,0.8875626921653748
"[Dave Peverett] David Jack Peverett (16 April 1943 – 7 February 2000), also known as Lonesome Dave, was an English singer and musician, best known as the original lead vocalist and rhythm guitarist of the rock band Foghat, which he founded following his tenure in Savoy Brown. [Jang Hyun-seung] Jang Hyun-seung (; born September 3, 1989) most often credited as Hyunseung, is a South Korean singer. [Zig-Zag Walk] Unlike the previous year's ""In the Mood for Something Rude"", which consisted of all outside material, lead singer Dave Peverett wrote five of the album's ten songs, with guitarist Erik Cartwright contributing a sixth.","[Jang Hyun-seung] Jang Hyun-seung (; born January 17, 1985) is a South Korean singer, songwriter, producer and actor. [Zig-Zag Walk] Zig-Zag Walk (Korean: ; RR: ) is a 1983 song by the South Korean rock band, The Boyz. [1983] It was released on October 12, 1983.",3,SUPPORTS,"Dave Peverett, Jang Hyun-seung, Zig-Zag Walk",0.8772180676460266,0.844406247138977,0.8604995012283325
"[Mount Ida] In Greek mythology, two sacred mountains are called Mount Ida, the ""Mountain of the Goddess"": Mount Ida in Crete; and Mount Ida in the ancient Troad region of western Anatolia (in modern-day Turkey) which was also known as the ""Phrygian Ida"" in classical antiquity and is the mountain that is mentioned in the Iliad of Homer and the Aeneid of Virgil. [Rhea (mythology)] Rhea ( ; Greek: Ῥέα , ] ) is a character in Greek mythology, the Titaness daughter of the earth goddess Gaia and the sky god Uranus, and sister and wife to Cronus. [Amari Valley] The Amari Valley is a fertile valley on the foothills of Mount Ida and Mount Kedros in Crete.","1. [Rhea] Rhea (Greek:, Rhea; Latin: Rhea Silvia) was a woman in ancient Roman religion and mythology, the mother of the twin brothers Romulus and Remus, the founders of Rome. 2. [Amari Valley] Amari Valley is a valley in Sri Lanka. The Amara River runs through the valley, and it is known for its abundant agricultural resources.",3,SUPPORTS,"Rhea (mythology), Amari Valley, Mount Ida",0.8761034607887268,0.8325858116149902,0.8537905216217041
"[Massimo Giordano] Massimo Giordano (born 19 February 1971) is an Italian-born operatic tenor who is known for his bel canto repertoire. [Massimo Giordano] Giordano was born in Pompei, Italy into an Italian working-class family. [Pompei] Pompei (] ) is a city and ""comune"" in the Metropolitan City of Naples in Italy, home of the ancient Roman ruins part of the UNESCO World Heritage Sites. [Marcello Giordani] (He is not to be confused with another Italian tenor, Massimo Giordano, who toured with Anna Netrebko in 2009.)","Marcello Giordani (born 22 September 1966) is an Italian operatic tenor who has an active career in opera and concert. [Marcello Giordani] Marcello Giordani was born in Naples, Italy. [Marcello Giordani] He studied at the Conservatory of Naples, where he was a pupil of Ettore Campogibba. [Marcello Giordani] Marcello Giordani has sung at the Metropolitan Opera, the Royal Opera House Covent Garden, and the Lyric Opera of Chicago, among other major opera houses. [Marcello Giordani] He has performed the roles of Alfredo Germont in La traviata, Edgardo in Lucia di Lammermoor, Radames in Aida, and the title role in Donizetti's Lucrezia Borgia. [Marcello Giordani] He has also sung in concert with the Chicago Symphony Orchestra, the Royal Philharmonic Orchestra, and the London Philharmonic Orchestra. [Marcello Giordani] He has released recordings of operatic arias and songs by composers such as Verdi, Puccini, and Donizetti. [Marcello Giordani] In 2009, Marcello Giordani was named an ""Opera Star of the World"" by Opernwelt. [Marcello Giordani] He is the son of the Italian tenor and conductor, Marcello Giordani. [Marcello Giordani] Marcello Giordani is an Italian operatic tenor who has an active career in opera and concert. [Marcello Giordani] Marcello Giordani was born in Naples, Italy. [Marcello Giordani] He studied at the Conservatory of Naples, where he was a pupil of Ettore Campogibba. [Marcello Giordani] Marcello Giordani has sung at the Metropolitan Opera, the Royal Opera House Covent Garden, and the Lyric Opera of Chicago, among other major opera houses. [Marcello Giordani] He has performed the roles of Alfredo Germont in La traviata, Edgardo in Lucia di Lammermoor, Radames in Aida, and the title role in Donizetti's Lucrezia Borgia. [",3,SUPPORTS,"Pompei, Marcello Giordani, Massimo Giordano",0.8191701769828796,0.8463724851608276,0.8325492143630981
"[Denzel Washington] Denzel Hayes Washington Jr. (born December 28, 1954) is an American actor, director, and producer. [David Hewlett] David Ian Hewlett (born 18 April 1968) is an English-born Canadian actor, writer, director, and voice actor best known for his role as Dr. Rodney McKay on the Canadian-American science fiction TV shows ""Stargate SG-1"", ""Stargate Atlantis"" and ""Stargate Universe"". [Herman Boone] Herman Ike Boone (born October 28, 1935) is a former American high school football coach, most famous for coaching the 1971 T. C. Williams High School football team to a 13-0 season, state championship, and national championship runner-up; the basis for the 2000 film ""Remember the Titans"" where Boone was portrayed by Denzel Washington.","[Herman Boone] Herman Boone (played by Dennis L.A. White) is the head coach of the T.C. Williams Titans football team. [David Hewlett] David Hewlett (born July 17, 1968) is a Canadian actor, director, and screenwriter. [Remember the Titans] Remember the Titans is a 2000 American sports drama film produced by Jerry Bruckheimer and directed by Boaz Yakin, and written by Gregory Allen Johnson, Ronald Bass, and Jim Brunzell. [David Hewlett] Hewlett was born in North Battleford, Saskatchewan, the son of Marilyn (née McDougall) and Bill Hewlett, a professor of psychology. [David Hewlett] His father is of Scottish descent, and his mother has some French ancestry. [David Hewlett] He has two younger sisters, Leslie and Dana. [David Hewlett] He was educated at North Battleford Collegiate Institute and the University of Calgary, where he studied psychology. [David Hewlett] He later attended the National Theatre School of Canada in Montreal. [David Hewlett] He is the son of Marilyn (née McDougall) and Bill Hewlett, a professor of psychology. [David Hewlett] He has two younger sisters, Leslie and Dana. [David Hewlett] He was educated at North Battleford Collegiate Institute and the University of Calgary, where he studied psychology. [David Hewlett] He later attended the National Theatre School of Canada in Montreal. [David Hewlett] He is the son of Marilyn (née McDougall) and Bill Hewlett, a professor of psychology. [David Hewlett] He has two younger sisters, Leslie and Dana. [David Hewlett] He was educated at North Battleford Collegiate Institute and the University of Calgary, where he studied psychology. [David Hewlett] He later attended the National Theatre School of Canada in Montreal. [David Hewlett] He is the son of Marilyn (née McDougall) and Bill Hewlett, a professor of psychology. [David Hewlett] He has two younger sisters, Leslie and Dana",3,SUPPORTS,"Herman Boone, David Hewlett, Denzel Washington",0.7999147772789001,0.8567270040512085,0.8273467421531677
"[43d Air Mobility Operations Group] The 43d Air Mobility Operations Group is an active duty air mobility unit at Pope Field, Fort Bragg, North Carolina (formerly Pope AFB), and is part of the Air Mobility Command (AMC) USAF Expeditionary Center. [Fort Bragg] Fort Bragg, North Carolina, is a military installation of the United States Army and is the largest military installation in the world (by population) with more than 50,000 active duty personnel. [43d Aeromedical Evacuation Squadron] It is part of the 43d Air Mobility Operations Group at Pope Army Air Field, North Carolina.","43d Aeromedical Evacuation Squadron (43 AES) is a United States Air Force unit. [Fort Bragg] Fort Bragg (also known as ""The Bragg"") is a U.S. Army installation and a census-designated place (CDP) in Fayetteville, North Carolina, United States. [43d Aeromedical Evacuation Squadron] The 43d Aeromedical Evacuation Squadron (43 AES) is a United States Air Force unit. [Fort Bragg] The 43 AES is a unit of the 43d Operations Group, 43d Fighter Group, 43d Fighter Wing, at Pope Field, North Carolina.",3,SUPPORTS,"Fort Bragg, 43d Air Mobility Operations Group, 43d Aeromedical Evacuation Squadron",0.900612473487854,0.891952633857727,0.8962616324424744
"[Len Reynolds (politician)] In 1958, he was selected as the Labor candidate for the seat of Barton, which party leader H. V. Evatt was leaving as it was perceived to be too marginal. [Division of Barton] The Division of Barton is an Australian electoral division in the state of New South Wales. [Division of Barton] The division was created in 1922 and is named for Sir Edmund Barton, the first Prime Minister of Australia. [Bill Arthur] However, in 1966 he defeated Labor member Len Reynolds and was elected for the Liberal Party.","1922: Bill Arthur is elected to the House of Representatives for the Division of Wentworth, New South Wales. [Bill Arthur] William Henry Arthur (1862 – 1950) was an Australian politician. He was a member of the New South Wales Legislative Assembly from 1894 to 1919, representing the Labor Party and the Australian Labor Party. [Bill Arthur] Arthur was born in Sydney, New South Wales, and was educated at the Sydney Boys High School. [Bill Arthur] Arthur was a carpenter by trade. [Bill Arthur] He was a member of the Australian Labor Party from its inception in 1891. [Bill Arthur] Arthur was a member of the New South Wales Legislative Assembly from 1894 to 1919, representing the Labor Party. [Bill Arthur] Arthur was the first Labor member of the Legislative Assembly for the electoral district of Wentworth. [Bill Arthur] Arthur was defeated in 1919 by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was defeated in the 1919 election by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was a member of the New South Wales Legislative Council from 1920 to 1922, representing the Labor Party. [Bill Arthur] Arthur was defeated in the 1922 election by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was defeated in the 1922 election by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was a member of the New South Wales Legislative Council from 1925 to 1930, representing the Labor Party. [Bill Arthur] Arthur was defeated in the 1930 election by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was defeated in the 1930 election by the Country Party candidate, William C. H. Riddell. [Bill Arthur] Arthur was a member of the New South Wales Legislative Council from 1932 to 1950, representing the Labor Party. [Bill Arthur] Arthur was defeated in the 1",3,SUPPORTS,"Division of Barton, Bill Arthur, Len Reynolds (politician)",0.8222147226333618,0.8499382138252258,0.8358466625213623
