True Evidence,Generated Evidence,Hops,Label,Topics
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","The Brandeis Award was founded in 2002 by Patient Privacy Rights. [Patient Privacy Rights] Patient Privacy Rights is a nonprofit organization that advocates for the protection of patient privacy and the responsible use of personal health information. [Brandeis Award] The Brandeis Award is an annual award given by Patient Privacy Rights to recognize and honor individuals or organizations that have made significant contributions to the advancement of patient privacy and the responsible use of personal health information. The award is named after Louis D. Brandeis, an American lawyer and activist who was a strong advocate for the protection of individual rights and liberties.",2,REFUTES,"Louis Brandeis, Brandeis Award (privacy)"
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","The Polar Bear is a non-alcoholic beverage that is made with cranberry juice, orange juice, and grenadine syrup. [Polar Bear] The Daiquiri is a classic cocktail that consists of rum, lime juice, and simple syrup. [Daiquiri] A Daiquiri is a classic cocktail that consists of rum, lime juice, and simple syrup. It is traditionally served in a highball glass over ice. [Daiquiri] The Polar Bear is not a cocktail, it is a non-alcoholic beverage. The Daiquiri is a cocktail.",2,REFUTES,"Daiquiri, Polar Bear (cocktail)"
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","1. [Olimpiyskiy National Sports Complex] The Olimpiyskiy National Sports Complex ( Ukrainian: Олімпійський національний спортивний комплекс, Russian: Олимпийский национальный спортивный комплекс, Romanian: Complexul Sportiv Național Olimpic) is a multi-purpose recreation and sports facility in Kyiv, Ukraine. 2. [Dynamo Kyiv] Dynamo Kyiv ( Ukrainian: Дінамо Київ, Russian: Динамо Киев, Romanian: Dinamo Kiev) is a Ukrainian professional football club based in Kyiv, Ukraine.",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv"
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. [SM Entertainment] SM Entertainment (Korean: SM엔터테인먼트) is a South Korean entertainment company established on January 14, 1995, by Lee Soo-man. [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red Velvet is a South Korean pop girl group formed by SM Entertainment in 2014. The group consists of 5 members: Irene, Seulgi, Wendy, Joy, and Yeri. They debuted on August 1, 2014, with the single ""Happiness"". [Red Velvet] Red",2,REFUTES,"S.M. Entertainment, Red Velvet discography"
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","Edwin Forrest was a famous American actor of his time. [The Astor Place Riot] The Astor Place Riot was a confrontation that occurred on May 10, 1849, in the vicinity of Astor Place in Manhattan, New York City, between proponents of Edwin Forrest, a well-known American actor, and Horace H. Fuller, a local businessman who had been critical of Forrests acting style. [Horace H. Fuller] Horace Haven Fuller (1809 – 1870) was an American businessman and politician. [Edwin Forrest] Edwin Forrest (January 13, 1809 – May 14, 1872) was an American actor and theater manager.",2,REFUTES,"Astor Place Riot, Edwin Forrest"
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","20th Century Fox Home Entertainment released the film on Blu-ray and DVD on December 11, 2013. [The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic fantasy adventure film directed by Peter Jackson and produced by WingNut Films and New Line Cinema. [Metro-Goldwyn-Mayer Studios Inc.] Metro-Goldwyn-Mayer (MGM) is an American media company that was founded in 1924 and is known for producing films, television shows, and home videos. [The Hobbit: The Desolation of Smaug] MGM has produced a number of successful films and television shows, including The Hobbit trilogy, The Lord of the Rings film trilogy, The Silence of the Lambs, and Gone with the Wind.",2,REFUTES,"The Hobbit: The Desolation of Smaug, Metro-Goldwyn-Mayer"
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","WJAR-TV ( channel 10) is an NBC-affiliated television station located in Providence, Rhode Island, United States. [WJAR-TV] WJAR-TV (channel 10) is an NBC-affiliated television station located in Providence, Rhode Island, United States. [NBC 10] NBC 10 (formerly known as WJAR-TV) is the NBC-affiliated television station in Providence, Rhode Island, United States.",2,REFUTES,"Sinclair Broadcast Group, WJAR"
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.","1973 Argentine romantic musical film directed by Julio Saraceni, starring Aashiqui 2 (1990 Indian film). [Aashiqui 2] Aashiqui 2 (transl. Raining Musicians) is a 1990 Indian musical romantic drama film directed by Mohammad Malik and produced by Vijay Galani. [Julio Saraceni] Julio César Saraceni (1925 – 1997) was an Argentine film director, screenwriter, and producer. He directed more than 40 films in Argentina, Mexico, and Spain, mostly in the genres of drama, comedy, and musicals. [Julio Saraceni] Saraceni was born in Buenos Aires, Argentina, and began his career in the film industry in the early 1950s. He directed several successful films in Argentina, including El Gran Poder (1965), La Cesta y el Boliche (1967), and El Hombre de Humboldt (1970). [Julio Saraceni] In 1973, he directed the Argentine romantic musical film ""Aquella Miraje"", starring Aashiqui 2 (1990 Indian film).",2,REFUTES,"The Desire to Live, Sandro de América"
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","Horse Creek is a stream in the U.S. state of Washington. [Cascade Range] The Cascade Range is a major mountain range in western North America. It extends from northern Vancouver Island and the British Columbia mainland in Canada, to the State of Washington in the United States. [Horse Creek] Horse Creek is a stream in the U.S. state of Washington.",2,REFUTES,"Horse Creek (McKenzie River), Cascade Range"
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","Miklos Wright was a film editor who worked on the movie ""The Last Best Sunday"" with Bea Arthur. [The Last Best Sunday] The Last Best Sunday is a 1979 American comedy-drama film directed by Paul Sand in his feature film debut. It stars Bea Arthur, Rue McClanahan, and Cloris Leachman. [Miklos Wright] Miklos Wright was a film editor who worked on many movies in the 1970s and 1980s, including ""The Last Best Sunday"" with Bea Arthur.",2,REFUTES,"Miklos Wright, Open Range (2003 film)"
