True Evidence,Generated Evidence,Hops,Label,Topics
"[Duke University] Duke University is a private research university located in Durham, North Carolina. [Duke University] Founded by Methodists and Quakers in the present-day town of Trinity in 1838, the school moved to Durham in 1892. [Tufts University] Tufts College was founded in 1852 by Christian Universalists who worked for years to open a nonsectarian institution of higher learning. [James David Barber] From 1977 to 1995, he taught political science at Duke University. [Donald Sur] After receiving his doctorate from Harvard in 1972, he settled in Boston, Massachusetts, where many of his works were premiered and where he taught at several local universities, including Harvard, MIT, and Tufts.","1. [James David Barber] James David Barber (May 12, 1922 – July 13, 2006) was an American political scientist and professor at the University of Virginia. 2. [Donald Sur] Donald Sur (February 25, 1928 – February 14, 2019) was an American political scientist and professor at the Massachusetts Institute of Technology.",4,SUPPORTS,"Tufts University, Donald Sur, Duke University, James David Barber"
"[Lianzhou] Lianzhou (), formerly Lian County or Lianxian (postal: Linhsien), is a county-level city in northern Guangdong Province, China, under the administration of the prefecture-level city of Qingyuan. [Yancheng] Yancheng () is a prefecture-level city in northeastern Jiangsu province, People's Republic of China. [Lianjiang River] The river rises in Momianshi (磨面石) of Xingzi Town (星子镇) in Lianzhou county, and it runs generally northwest to southeast through Lianzhou, Yangshan and Yingde counties. [Zuoxiao Zuzhou] Zuoxiao Zuzhou () (b. Yancheng, March 4, 1970), real name Wu Hongjin, (吴红巾),is a Chinese musician and artist.","Zuoxiao Zuzhou is a Chinese novelist, born in the town of Jiansu. [Zuoxiao Zuzhou] Zuoxiao Zuzhou (Chinese: 左小狮; pinyin: Zuòxiǎo Zūzhou) is a Chinese novelist and writer, born in Jiansu, Jiangsu province, China. [Jiansu] Jiansu (Chinese: 建州; pinyin: Jiànzhōu) is a province of China located in the Yangtze River Delta. [Lianjiang River] The Lianjiang River (Chinese: 廉江 river; pinyin: Liánjiāng Jiāng) is a river in eastern China, flowing through the provinces of Jiangsu, Zhejiang, and Fujian.",4,SUPPORTS,"Zuoxiao Zuzhou, Yancheng, Lianzhou, Lianjiang River"
"[Ozzy Osbourne] John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and actor. [Ozzy Osbourne] He was fired from Black Sabbath in 1979 and went on to have a successful solo career, releasing 11 studio albums, the first seven of which were all awarded multi-platinum certifications in the US. [Curt Smith] As a solo artist, he has released four solo albums. [Change (Tears for Fears song)] Written by Roland Orzabal and sung by bassist Curt Smith, it was the band's fourth single release. [Mothers Talk] ""Mothers Talk"" is a 1984 song by the British band Tears for Fears.","1. ""Mothers Talk"" is a song by the band The Cult. 2. The bassist of the group, who released ""Mothers Talk"", is Thundercat. 3. Thundercat has worked with Kendrick Lamar, Flying Lotus, and Kamasi Washington. 4. John Michael ""Ozzy"" Osbourne has released more solo albums than Thundercat. [The Cult] The Cult is a British rock band that was formed in 1981. The band has released several albums, including ""Mothers Talk"", which was released in 1989. [Thundercat] Thundercat is an American bassist, singer, and songwriter. He has worked with several artists, including Kendrick Lamar, Flying Lotus, and Kamasi Washington. [John Michael ""Ozzy"" Osbourne] John Michael ""Ozzy"" Osbourne (born December 3, 1948) is an English singer, songwriter, and television personality. He rose to fame in the 1970s as the lead vocalist of the heavy metal band Black Sabbath.",4,SUPPORTS,"Mothers Talk, Ozzy Osbourne, Curt Smith, Change (Tears for Fears song)"
"[A Wrinkle in Time (2018 film)] A Wrinkle in Time is an upcoming American science-fiction fantasy adventure film directed by Ava DuVernay and written by Jennifer Lee. [Home on the Range (2004 film)] Home on the Range is a 2004 American animated musical western comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures. [Storm Reid] She is set to portray Meg Murry in ""A Wrinkle in Time"" (2018). [Chris Buck] He also worked as a supervising animator on ""Home on the Range"" (2004) and ""Pocahontas"" (1995).","Storm Reid is an American actor. Chris Buck is an American animator and filmmaker. [Storm Reid] Storm Reid (born August 1, 1998) is an American actor, voice actor, and singer. [Chris Buck] Christopher J. Buck (born March 15, 1952) is an American animator, film director, and producer who is best known for his work at Walt Disney Animation Studios, where he served as a supervising animator on several films, including Frozen (2013), Tangled (2010), and Brave (2012). [The movie] The movie is a 2004 science fiction film directed by Chris Buck and produced by Walt Disney Pictures. It features the voice talents of Kristin Bell, Idris Elba, and Chris Buck.",4,SUPPORTS,"A Wrinkle in Time (2018 film), Chris Buck, Home on the Range (2004 film), Storm Reid"
"[Patrick McEnroe] Patrick John McEnroe (born July 1, 1966) is a former professional tennis player and the former captain of the United States Davis Cup team. [Billie Jean King] Billie Jean King (""née"" Moffitt; born November 22, 1943) is an American former World No. 1 professional tennis player. [1990 Newsweek Champions Cup – Doubles] Becker partnered Guy Forget, and they won the title, defeating Jim Grabb and Patrick McEnroe 4–6, 6–4, 6–3 in the final. [Larry King (tennis)] Larry King (born January 30, 1945) is an American attorney, a real estate broker, a promoter, one of the founders of World Team Tennis, and the former husband of tennis star Billie Jean King.","Larry King's ex-wife, Shaunie O'Neal, is a well-known television personality and businesswoman, best known for her role as the executive producer of the popular reality television show ""Basketball Wives."" [Shaunie O'Neal] Shaunie O'Neal (born September 1, 1974) is an American television personality, businesswoman, and executive producer. She is best known for her role as the executive producer of the popular reality television show ""Basketball Wives,"" which follows the lives of the wives and girlfriends of professional basketball players. [Jim Grabb] Jim Grabb (born March 13, 1970) is a former professional tennis player from the United States. He was a top-50 player in the world and reached the quarterfinals of Wimbledon in 1990. [Newsweek Champions Cup] The Newsweek Champions Cup was a men's tennis tournament played in Dallas, Texas, from 1977 to 1992. It was one of the most prestigious tennis tournaments in the United States during the 1980s and 1990s.",4,SUPPORTS,"Larry King (tennis), Billie Jean King, 1990 Newsweek Champions Cup – Doubles, Patrick McEnroe"
"[Ray Wilson (musician)] Raymond Wilson (born 8 September 1968) is a Scottish musician, best known as vocalist in the post-grunge band Stiltskin, and in Genesis from 1996 to 1998. [Billy Idol] William Michael Albert Broad (born 30 November 1955), known professionally as Billy Idol, is an English musician, singer, songwriter, and actor. [Live and Acoustic (Ray Wilson album)] Live and Acoustic is the first live CD release from Ray Wilson. [Eyes Without a Face (song)] ""Eyes Without a Face"" is a song by English rock musician Billy Idol, from his second album ""Rebel Yell"" (1983).","[Billy Idol] Billy Idol (born William George Alan Rivett; 3 November 1955) is an English musician and singer-songwriter whose career spans over four decades. [Rebel Yell] ""Rebel Yell"" is a song by the Irish rock band, R.E.M. It was released in 1989. [Live and Acoustic] Live and Acoustic is a live album by the Irish rock band, R.E.M. It was released in 2000.",4,SUPPORTS,"Billy Idol, Live and Acoustic (Ray Wilson album), Eyes Without a Face (song), Ray Wilson (musician)"
"[Leaked in London] It was brought up because the band's third album, ""Infinity on High"", was leaked onto the internet on January 19, 2007, three weeks before its official scheduled release. [Infinity on High] Infinity on High is the third studio album by American rock band Fall Out Boy, released on February 6, 2007 by Island Records as the follow-up to the band's commercially successful 2005 album ""From Under the Cork Tree"". [The Take Over, the Breaks Over] """"The Take Over, the Breaks Over"""" (rendered with quotation marks as part of its title on the album track listing) is a song by American rock band Fall Out Boy and the fourth single from their third studio album ""Infinity on High"" (2007). [America's Suitehearts] ""America's Suitehearts"" is a song by American rock band Fall Out Boy and the second single taken from their fourth studio album, ""Folie à Deux"" (2008).","[American Suitehearts] American Suitehearts is a song by the band Panic! At The Disco, released on February 6, 2007. [The Take Over, the Breaks Over] The Take Over, the Breaks Over is a song by Panic! At The Disco, released on February 6, 2007.",4,SUPPORTS,"America's Suitehearts, Infinity on High, The Take Over, the Breaks Over, Leaked in London"
"[Maine School Administrative District 3] Maine School Administrative District 3 (MSAD 3) is an operating school district within Maine, covering the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity. [Unity, Maine] The population was 2,099 at the 2010 census. [Mount View High School (Maine)] The school is a part of Maine School Administrative District 3, and serves students from the towns of Brooks, Freedom, Jackson, Knox, Liberty, Monroe, Montville, Thorndike, Troy, Unity and Waldo. [High Tide at Noon] ""High Tide at Noon"" was based on the first of a series of novels by Elisabeth Ogilvie, set in Maine.","2010 Census population of Waldo County, Maine. [Mount View High School] Mount View High School is a public high school located in Thorndike, Maine, United States. [High Tide at Noon] High Tide at Noon is a novel by Kathleen George, set in the fictional town of Southport, Maine. |",4,SUPPORTS,"Maine School Administrative District 3, Mount View High School (Maine), High Tide at Noon, Unity, Maine"
"[2009 St. Petersburg Bowl] The 2009 St. Petersburg Bowl presented by Beef 'O' Brady's, formerly known as the St. Petersburg Bowl, was the second edition of the college football bowl game and was played at Tropicana Field in St. Petersburg, Florida. [2009 St. Petersburg Bowl] Rutgers defeated UCF 45–24 in a game where Mohamed Sanu, the game's MVP, caught 4 passes for 97 yards and a touchdown in addition to rushing 14 times for 47 yards and two touchdowns. [Mohamed Sanu] Mohamed Sanu Sr. (born August 22, 1989) is an American football wide receiver for the Atlanta Falcons of the National Football League (NFL). [2009 Rutgers Scarlet Knights football team] The Scarlet Knights finished the season 9–4, 3–4 in Big East play and won the St. Petersburg Bowl, 45–24, over UCF. [2009 Big East Conference football season] The Big East Conference consists of 8 football members: Cincinnati, Connecticut, Louisville, Pittsburgh, Rutgers, South Florida, Syracuse, and West Virginia.","[Big East Conference] The 2009 Big East Conference football season was the 40th season of the college football league. [Mohamed Sanu Sr] Mohamed Sanu Sr. (born December 12, 1989) is a former American football wide receiver who played for the Atlanta Falcons of the National Football League (NFL). [Game] The game in question was the 2009 Champs Sports Bowl, which took place on December 19, 2009, at the Florida Citrus Bowl in Orlando, Florida. The game was played between the University of Notre Dame Fighting Irish and the Miami Hurricanes. [Game MVP] The Most Valuable Player (MVP) of the game was none other than Mohamed Sanu Sr., who played a crucial role in the Hurricanes' victory.",4,SUPPORTS,"Mohamed Sanu, 2009 Rutgers Scarlet Knights football team, 2009 Big East Conference football season, 2009 St. Petersburg Bowl"
"[Louise (opera)] Louise is an opera (""roman musical"" ) in four acts by Gustave Charpentier to an original French libretto by the composer, with some contributions by Saint-Pol-Roux, a symbolist poet and inspiration of the surrealists. [Le roi malgré lui] Le roi malgré lui (""King in Spite of Himself"" or ""The reluctant king"") is an opéra-comique in three acts by Emmanuel Chabrier of 1887 with an original libretto by Emile de Najac and Paul Burani. [Julien (opera)] ""Julien"" is a sequel to Charpentier's ""Louise"" (1900) and describes the artistic aspirations of Louise’s suitor Julien. [Charles Rousselière] He sang in the world premieres of several operas, including the title role in Charpentier's ""Julien"" and Giorgio in Mascagni's ""Amica""","[Charles Rousselière] Charles Rousselière (c. 1655 – 1709) was a French violinist and composer. [Marc-Antoine Charpentier] Marc-Antoine Charpentier (1643 – 1704) was a French baroque composer and organist. [Le roi malgré lui] Le roi malgré lui is an opera by Marc-Antoine Charpentier, with a libretto by Thomas Corneille. [The opera] The sequel to Le roi malgré lui is Medée, an opera by Charpentier. [Medée] Medée is an opera by Marc-Antoine Charpentier, with a libretto by Thomas Corneille. The opera has five acts, whereas Le roi malgré lui has four acts.",4,SUPPORTS,"Charles Rousselière, Julien (opera), Louise (opera), Le roi malgré lui"
