True Evidence,Generated Evidence,Hops,Label,Topics,ROUGE-1 F,ROUGE-1 P,ROUGE-1 R,ROUGE-2 F,ROUGE-2 P,ROUGE-2 R,ROUGE-L F,ROUGE-L P,ROUGE-L R
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","[Chinese Crested Dog] The Chinese Crested Dog (also known as the Crested Chinese Dog or the Puff-Legged Dog) is a rare breed of dog that is characterized by its hairlessness, with the exception of a crest of fur on the top of the head and a plume on the tail. [Xoloitzcuintli] The Xoloitzcuintli (also known as the Mexican Hairless Dog or the Xolo) is a rare breed of dog that is native to Mexico and is known for its hairlessness.",2,SUPPORTS,"Mexican Hairless Dog, Canine follicular dysplasia",0.3863636313636364,0.38636363636363635,0.38636363636363635,0.16071428087372464,0.13636363636363635,0.1956521739130435,0.34090908590909097,0.3409090909090909,0.3409090909090909
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","[SAS Group] SAS Group ( ; ] ; formerly SAS AB, SAS Lloyd, SAS Scandinavian Airlines, and SAS Sweden) is a Swedish airline holding company that operates in Scandinavia, Europe, and the United States via its subsidiaries, including SAS Sweden, SAS Denmark, and SAS Norway. [Technical aircraft maintenance company] The company has its head office in Solna Municipality, Sweden, with its main hubs at Stockholm–Arlanda Airport, Gothenburg Airport, and Oslo Airport, Gardermoen. [Arlanda, Sweden] Arlanda Airport ( ; ] ; also known as Stockholm–Arlanda Airport or simply Arlanda) is an international airport located in the municipalities of Sollentuna, Tumba, and Arlanda, in the province of Stockholm County, Sweden.",2,SUPPORTS,"SAS Group, SAS Technical Services",0.4052287531701483,0.4025974025974026,0.40789473684210525,0.12440190887845992,0.12745098039215685,0.12149532710280374,0.3267973806211287,0.3246753246753247,0.32894736842105265
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","[Merrick Boulevard] Merrick Boulevard is a major street in the western part of the Miami metropolitan area, running from the city of Miami Beach north to the city of Hialeah. [Shopping mall] A shopping mall is a building or group of buildings that contain retail stores, especially one that is a popular destination for shopping.",2,SUPPORTS,"Green Acres Mall, Merrick Boulevard buses",0.21538461106627227,0.34146341463414637,0.15730337078651685,0.06741572629718494,0.12,0.046875,0.18461538029704153,0.2926829268292683,0.1348314606741573
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","[Robert Purcell] Robert Purcell ( ; 1943 – 1997) was an American virologist and researcher at the National Institutes of Health (NIH). [Jaundice] Jaundice is a yellowish discoloration of the skin and the whites of the eyes, usually caused by a buildup of bilirubin in the blood. [Fever] Fever is an elevated temperature in the body, usually caused by an infection or inflammation. [Abdominal pain] Abdominal pain, also known as stomachache, is pain that occurs in the abdomen, often caused by inflammation or injury to the abdominal organs. [Nausea] Nausea is a feeling of unease or discomfort in the stomach, often accompanied by vomiting. [Vomiting] Vomiting is the act of forcing food or other substances out of the stomach through the mouth.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A",0.1705426310269817,0.13414634146341464,0.23404255319148937,0.01242235601404411,0.008928571428571428,0.02040816326530612,0.15503875505798945,0.12195121951219512,0.2127659574468085
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","[Rock Nominees Ltd] Rock Nominees Ltd is a UK-based company that provides cleaning, catering, and security services to the entertainment industry. [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish-based company that provides cleaning, catering, and security services to the entertainment industry.",2,SUPPORTS,"Rock (Nominees) Ltd v RCO Holdings Ltd, ISS A/S",0.3571428521428572,0.35714285714285715,0.35714285714285715,0.05970148756515969,0.06451612903225806,0.05555555555555555,0.2857142807142858,0.2857142857142857,0.2857142857142857
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Love Actually] Love Actually (2003) is a romantic comedy film directed and written by Richard Curtis. [Joni Mitchell] Joni Mitchell, CC ( ; ] ; born Roberta Joan Anderson on November 7, 1943, in Fort Macleod, Alberta, Canada, is a Canadian singer-songwriter and musician. [The Hissing of Grasses] The Hissing of Grasses is the 22nd studio album by Joni Mitchell, released in 2000. [The Hissing of Grasses] The album was nominated for a Grammy Award for Best Pop Album. [Grammy Awards] The album won two Grammy Awards for Best Female Pop Vocal Performance and Producer of the Year, Non-Classical.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",0.32857142357244906,0.323943661971831,0.3333333333333333,0.09999999500061751,0.10112359550561797,0.0989010989010989,0.2999999950010205,0.29577464788732394,0.30434782608695654
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin (born October 22, 1964) is an American football coach who is the current head coach of the Texas A&amp;M Aggies football team. [University of Houston] The University of Houston (UH or U of H) is a public research university located in Houston, Texas.It is accredited by the Southern Association of Colleges and Schools (SACS).",2,SUPPORTS,"Kevin Sumlin, Texas A&amp;M Aggies football",0.449999995153125,0.3829787234042553,0.5454545454545454,0.17475727663304755,0.15517241379310345,0.2,0.32499999515312505,0.2765957446808511,0.3939393939393939
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","[Anne Garrels] Anne Garrels (born November 12, 1953) is an American journalist and news anchor who has covered many significant news events, including the Gulf War, the assassination of Benazir Bhutto, and the Hurricane Katrina aftermath. [The Daily Howler] The Daily Howler is a blog that critiques media outlets, journalists, and media personalities, with a focus on MSNBC.",2,SUPPORTS,"The Daily Howler, Rachel Maddow",0.3148148098576818,0.3469387755102041,0.288135593220339,0.12799999503872017,0.14035087719298245,0.11764705882352941,0.2962962913391633,0.32653061224489793,0.2711864406779661
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna is an American singer, songwriter, actress, and entrepreneur. [William Friedkin] William Friedkin is an American film director, producer, and screenwriter.",2,SUPPORTS,"Madonna (entertainer), William Friedkin",0.4477611901002451,0.8333333333333334,0.30612244897959184,0.31578946993421053,0.631578947368421,0.21052631578947367,0.4477611901002451,0.8333333333333334,0.30612244897959184
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: HDN, ICAO: KHDN, FAA LID: HDN) is a public airport located three nautical miles (5.7 km) southeast of the central business district of Harrisonburg, a city in and the county seat of Rockingham County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport located three nautical miles (5.6 km) northwest of the central business district of Santa Barbara, a city in Santa Barbara County, California, United States.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport",0.749999995,0.75,0.75,0.5757575707679065,0.5507246376811594,0.6031746031746031,0.749999995,0.75,0.75
