True Evidence,Generated Evidence,Hops,Label,Topics,bleu_score
"[Brandeis Award (privacy)] The Brandeis Award is named in honor of Louis Brandeis and awarded by Patient Privacy Rights, a health privacy watchdog. [Louis Brandeis] Louis Dembitz Brandeis ( ; November 13, 1856 – October 5, 1941) was an American lawyer and associate justice on the Supreme Court of the United States from 1916 to 1939.","1. [Patient Privacy Rights] Patient Privacy Rights is a nonprofit advocacy organization dedicated to protecting the privacy and security of patient health information. [Brandeis Award] The Brandeis Award is an annual award given by Patient Privacy Rights to recognize individuals or organizations that have made significant contributions to the field of patient privacy and security. 2. [Brandeis, Louis D.] Louis Dembitz Brandeis (; November 13, 1856 – May 26, 1941) was an American lawyer and associate justice of the Supreme Court of the United States from 1916 to 1939.",2,REFUTES,"Brandeis Award (privacy), Louis Brandeis",0.3631753986210853
"[Polar Bear (cocktail)] A Polar Bear, After Eight or Peppermint Paddy (a play on ""Peppermint Pattie"") is a mint chocolate cocktail that tastes like a York Peppermint Pattie or an After Eight wafer. [Daiquiri] Daiquiri ( ; Spanish: ""daiquirí"" ] ) is a family of cocktails whose main ingredients are rum, citrus juice (typically lime juice), and sugar or other sweetener.","[Polar Bear] A Polar Bear is a type of cocktail made with gin, orange juice, and grenadine syrup. [Daiquiri] A Daiquiri is a classic cocktail made with rum, lime juice, and simple syrup.",2,REFUTES,"Daiquiri, Polar Bear (cocktail)",0.07805483598731193
"[FC Dynamo Kyiv] Football Club Dynamo Kyiv (Ukrainian: Футбольний клуб «Динамо» Київ , ] ) is a Ukrainian professional football club based in Kiev. [FC Dynamo Kyiv] Their home is the 70,050 capacity Olimpiyskiy National Sports Complex. [Olimpiyskiy National Sports Complex] The Olympic National Sports Complex (also known as Olympic Stadium; Ukrainian: Національний спортивний комплекс ""Олімпійський"" ) is a multi-use sports and recreation facility in Kiev, Ukraine, located on the slopes of the city's central Cherepanov Hill, Pechersk Raion.","[Olimpiyskiy National Sports Complex] Olimpiyskiy National Sports Complex ( Ukrainian: Олімпійський національний спортивний комплекс; Russian: Олимпийский национальный спортивный комплекс) is a multi-purpose recreation and sports facility located in Kyiv, Ukraine. It was opened in 1961 and was the main venue for the 1980 Summer Olympics. [Dynamo Kyiv] Dynamo Kyiv ( Ukrainian: Дніпро; Russian: Днепро) is a professional football club based in Kyiv, Ukraine. The club was founded in 1961 and has won several domestic and international titles.",2,REFUTES,"Olimpiyskiy National Sports Complex, FC Dynamo Kyiv",0.22122966109917674
"[Red Velvet discography] The discography of the South Korean girl group Red Velvet consists of one studio album, five extended plays, and twelve singles. [S.M. Entertainment] It is currently one of the largest entertainment companies in South Korea.","[Red Velvet] Red Velvet (Korean: 레드벨브; stylized as REDVELVET) is a South Korean pop girl group formed by SM Entertainment in 2014. [SM Entertainment] SM Entertainment (Korean: SM엔터테인먼트; stylized as SM ENTERTAINMENT) is a South Korean entertainment company established on January 26, 1995 by Lee Soo-man.",2,REFUTES,"S.M. Entertainment, Red Velvet discography",1.9488788500687675e-78
"[Edwin Forrest] His feud with the British actor William Charles Macready was the cause of the deadly Astor Place Riot of 1849. [Astor Place Riot] The Astor Place Riot occurred on May 10, 1849, at the now-demolished Astor Opera House in Manhattan, New York City and left at least 25 dead and more than 120 injured.","[The Astor Place Riot] The Astor Place Riot was a violent confrontation that took place on May 10, 1849, in Manhattan, New York City, between a group of actors and a group of citizens who were opposed to the actors performance of Macbeth at the Astor Place Theatre. [Edwin Forrest] Edwin Forrest (February 18, 1812 – August 19, 1872) was an American actor and theatre manager. [Horace H. Fuller] Horace H. Fuller (1808 – January 17, 1876) was a prominent New York City merchant and politician.",2,REFUTES,"Edwin Forrest, Astor Place Riot",0.19495392616975643
"[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic high fantasy adventure film directed by Peter Jackson and produced by WingNut Films in collaboration with New Line Cinema and Metro-Goldwyn-Mayer. [Metro-Goldwyn-Mayer] Metro-Goldwyn-Mayer Studios Inc. (abbreviated as MGM or M-G-M, also known as Metro-Goldwyn-Mayer Pictures, Metro-Goldwyn-Mayer or simply Metro, and for a former interval known as Metro-Goldwyn-Mayer/United Artists, or MGM/UA) is an American media company, involved primarily in the production and distribution of feature films and television programs.","[The Hobbit: The Desolation of Smaug] The Hobbit: The Desolation of Smaug is a 2013 epic fantasy adventure film directed by Peter Jackson and produced by WingNut Films and New Line Cinema. [Metro-Goldwyn-Mayer Studios Inc] Metro-Goldwyn-Mayer Studios Inc. (MGM) is an American media company that was founded in 1924 and is known for producing films, television shows, and other forms of entertainment.",2,REFUTES,"The Hobbit: The Desolation of Smaug, Metro-Goldwyn-Mayer",0.41618309953014504
"[WJAR] WJAR (more commonly known as NBC 10) is the NBC-affiliated television station for the state of Rhode Island and Bristol County, Massachusetts licensed to Providence. [WJAR] Owned by Sinclair Broadcast Group, the station shares studios on Kenney Drive in Cranston with ZGS Communications-owned Telemundo affiliate WRIW-CD. [Sinclair Broadcast Group] Sinclair Broadcast Group is an American telecommunications company that is owned by the family of company founder Julian Sinclair Smith.","[WJAR] WJAR (channel 10) is the NBC-affiliated television station serving Providence, Rhode Island, United States. [NBC 10] NBC 10 is a television station in the Providence, Rhode Island market, owned by the NBC Owned Television Stations subsidiary of NBCUniversal.",2,REFUTES,"WJAR, Sinclair Broadcast Group",0.13582158844449296
"[The Desire to Live] The Desire to Live (Spanish: ""El Deseo de vivir"" ) is a 1973 Argentine romantic musical film directed by Julio Saraceni and starring Sandro and Elena Sedova. [Sandro de América] Roberto Sánchez-Ocampo (August 19, 1945 – January 4, 2010), better known by his artist names Sandro/Sandro de América (""Sandro of America""), ""Gitano"" (gypsy), and the Argentine Elvis, was a notable Argentine singer and actor.",[Julio Saraceni] Julio Maria Saraci (25 August 1905 – 23 December 1995) was an Argentine film director and producer. [Aashiqui 2] Aashiqui 2 (transl. Rumble of the Musicians) is a 2013 Bollywood musical romantic drama film directed by Gautam Singh and produced by Bhushan Kumar.,2,REFUTES,"Sandro de América, The Desire to Live",1.313666064628063e-78
"[Horse Creek (McKenzie River)] It begins in the Cascade Range in the Three Sisters Wilderness of the Willamette National Forest. [Cascade Range] The Cascade Range or Cascades is a major mountain range of western North America, extending from southern British Columbia through Washington and Oregon to Northern California.","[Horse Creek] Horse Creek is a stream in the U.S. state of Washington, flowing through the Cascade Range.",2,REFUTES,"Cascade Range, Horse Creek (McKenzie River)",9.447575751879681e-79
"[Miklos Wright] Miklos Wright is an American film editor. [Miklos Wright] His most notable works include ""Open Range"" and ""Mr. Brooks"", both of which starred Kevin Costner, along with doing multiple episodes of ""Southland (TV Series)"" and ""Chicago PD (TV Series)"". [Open Range (2003 film)] The film was the final on-screen appearance of Jeter, who died before it was released, and the film was dedicated to Jeter's memory, and to that of Costner's parents, Bill and Sharon.","[Bea Arthur] Bea Arthur (born Beverly Elizabeth Smith; January 17, 1922 – April 20, 2009) was an American actress, comedian, and singer. [Miklos Wright] Miklos Wright (born June 18, 1943) is a Hungarian-American film editor and producer. He has worked on over 30 films, including The Last Best Sunday (1999), which was the last film that Bea Arthur acted in.",2,REFUTES,"Open Range (2003 film), Miklos Wright",0.08360243515553384
