True Evidence,Generated Evidence,Hops,Label,Topics,Precision,Recall,F1 Score
"[Canine follicular dysplasia] Certain breeds, such as the Mexican Hairless Dog and Chinese Crested Dog, are bred specifically for alopecia. [Mexican Hairless Dog] The Xoloitzcuintli ( ; Nahuatl pronunciation: ), or Xolo for short, is a hairless breed of dog, found in toy, miniature, and standard sizes.","[Chinese Crested Dog] The Chinese Crested Dog (also known as the Crested Chinese Dog or the Puff-Legged Dog) is a rare breed of toy dog known for its distinctive appearance, lack of fur, and crest and corkscrew tail. [Xoloitzcuintli] The Xoloitzcuintli (; from the Nahuatl languages, [ˈxoloːt͡zˈquiːntli], ""dog-wolf"") is a rare and ancient breed of dog native to Mexico, known for its distinctive appearance and unique characteristics.",2,SUPPORTS,"Canine follicular dysplasia, Mexican Hairless Dog",0.8492646813392639,0.8720344305038452,0.8604989647865295
"[SAS Technical Services] The company is owned by the SAS Group and provides technical maintenance of aircraft to airlines in and outside the SAS Group. [SAS Technical Services] It is headquartered at Arlanda outside Stockholm and has 3,600 employees. [SAS Group] Scandinavian Airlines System Aktiebolag (, Nasdaq: SAS , ), trading as SAS Group and SAS AB, is an airline holding company headquartered in the SAS Frösundavik Office Building in Solna Municipality, Sweden. [SAS Group] It also owns the aviation services companies SAS Business Opportunities, SAS Cargo Group, SAS Ground Services, and SAS Technical Services. [SAS Group] SAS Group is partially owned by the governments of Sweden, Denmark, and Norway, with a 21.4%, 14.3%, and 14.3% ownership, respectively.","[SAS Group] SAS Group (Swedish Air Transport Services, SAS) is a Swedish airline company founded in 1946 and headquartered in Solna Municipality, Stockholm, Sweden. [Arlanda, Sweden] Arlanda Airport (IATA: ARN, ICAO: ESSA) is an international airport located in the municipality of Solna, just south of Stockholm, Sweden.",2,SUPPORTS,"SAS Group, SAS Technical Services",0.8760256767272949,0.8431118726730347,0.8592537045478821
"[Merrick Boulevard buses] The Q5 and Q85 bus routes constitute a public transit corridor running along Merrick Boulevard in Southeastern Queens, New York City, United States. [Merrick Boulevard buses] The routes run from the Jamaica Center transit hub and business district to Rosedale, with continued service to the Green Acres Mall shopping center in Nassau County. [Green Acres Mall] Green Acres Mall is an indoor shopping mall located in South Valley Stream, New York, off Sunrise Highway in Nassau County right off the border of New York City and the Incorporated Village of Valley Stream (part of the parking lot and stores on the north side of the property are in the Village, while the mall itself is in an unincorporated hamlet of the Town of Hempstead). [Green Acres Mall] The mall has a gross leasable area (GLA) of 1800000 sqft .","[Merrick Boulevard] Merrick Boulevard is a major street in Weston, Florida, running north–south through the center of the city. [Gross leasable area] Gross leasable area (GLA) is a term used in commercial real estate to describe the total rentable area of a building or complex, minus any common areas such as lobbies, hallways, elevators, and restrooms.",2,SUPPORTS,"Green Acres Mall, Merrick Boulevard buses",0.8589377403259277,0.8211173415184021,0.8396018147468567
"[Robert Purcell (virologist)] Robert H. Purcell (born 19 December 1935) is a virologist who, together with Stephen Feinstone and Albert Kapikian, co-identified the Hepatitis A virus (HAV) in 1973. [Hepatitis A] When symptoms occur, they typically last eight weeks and may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.","Robert Purcell is a British-American actor, known for his roles in the films, The Last Boy Scout (1991) and Speed 2: Cruise Control (1997). [Robert Purcell] Robert Purcell (born September 25, 1958) is a British-American actor, known for his roles in the films, The Last Boy Scout (1991) and Speed 2: Cruise Control (1997). [Symptoms of the virus] Nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain are symptoms of a virus.",2,SUPPORTS,"Robert Purcell (virologist), Hepatitis A",0.8578012585639954,0.8570728302001953,0.8574368953704834
"[Rock (Nominees) Ltd v RCO Holdings Ltd] RCO itself was in the cleaning, catering and security porterage business. [ISS A/S] ISS services include: cleaning services, support services, property services, catering services, security services and facility management services.","[Rock Nominees Ltd] Rock Nominees Ltd is a limited liability company registered in Scotland. [ISS A/S (Integrated Service Solutions)] ISS A/S (Integrated Service Solutions) is a Danish company that provides a range of services, including cleaning, catering, and security services.",2,SUPPORTS,"Rock (Nominees) Ltd v RCO Holdings Ltd, ISS A/S",0.8692547678947449,0.8905882239341736,0.8797921538352966
"[Both Sides Now (Joni Mitchell album)] The album won two Grammy awards in 2001 for Best Traditional Pop Vocal Album and Best Instrumental Arrangement Accompanying Vocalist(s) for the song ""Both Sides, Now"". [Both Sides, Now] ""Both Sides, Now"" is a song by Joni Mitchell, and one of her best-known songs. [Both Sides, Now] She re-recorded the song in a lusher, orchestrated version for her 2000 album ""Both Sides Now""; this version was subsequently featured on the soundtrack to the 2003 film ""Love Actually"" and was performed by Sara Bareilles during the 89th Academy Awards' ""In Memoriam"" homage.","[Love Actually] Love Actually (2003) is a romantic comedy film directed by Richard Curtis. [Joni Mitchell] Joni Mitchell (born Roberta Joan Anderson; November 7, 1943) is a Canadian singer-songwriter and musician. [Album named after the Joni Mitchell song] The album, named after the Joni Mitchell song, is a 2006 album by the American singer-songwriter, actress, and model, Carly Simon.",2,SUPPORTS,"Both Sides, Now, Both Sides Now (Joni Mitchell album)",0.8579574823379517,0.8140277862548828,0.8354154825210571
"[Texas A&amp;M Aggies football] The Texas A&M Aggies football program represents Texas A&M University in the sport of American football. [Texas A&amp;M Aggies football] Kevin Sumlin is currently the team's head coach. [Kevin Sumlin] Previously, Sumlin was the head football coach at the University of Houston from 2007 to 2011.","[Kevin Sumlin] Kevin Sumlin (born October 24, 1964) is an American football coach who is the current head coach of the Texas A&M Aggies football team. [University of Houston] The University of Houston (UH or U of H) is a public research university located in Houston, Texas.",2,SUPPORTS,"Kevin Sumlin, Texas A&amp;M Aggies football",0.886518120765686,0.8966227769851685,0.8915418386459351
"[The Daily Howler] The Daily Howler is an American political blog written by Bob Somerby. [The Daily Howler] Despite being left of center in his politics, Somerby mainly critiques liberals in the U.S. mainstream media who he feels do poor journalism, such as Rachel Maddow and Keith Olbermann, both of MSNBC. [Rachel Maddow] Rachel Anne Maddow ( , ; born April 1, 1973) is an American television host, political commentator, and author.","[Ann Coulter] Ann Coulter (born December 10, 1961) is an American conservative author, syndicated columnist, and political commentator. [Anne Miller] Anne Miller (born 1955) is an American journalist and television personality, best known for her work on MSNBC.",2,SUPPORTS,"Rachel Maddow, The Daily Howler",0.8966291546821594,0.8575186133384705,0.876637876033783
"[Madonna (entertainer)] Madonna Louise Ciccone ( ; born August 16, 1958) is an American singer, songwriter, actress, and businesswoman. [William Friedkin] William Friedkin (born August 29, 1935) is an American film director, producer and screenwriter best known for directing ""The French Connection"" in 1971 and ""The Exorcist"" in 1973; for the former, he won the Academy Award for Best Director.","[Madonna] Madonna Louise Ciccone (born August 16, 1958) is an American singer-songwriter, actress, and businesswoman. [William Friedkin] William Peter Friedkin (born March 29, 1935) is an American film director, producer, and screenwriter.",2,SUPPORTS,"William Friedkin, Madonna (entertainer)",0.9661190509796143,0.9016088247299194,0.93274986743927
"[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: SHD, ICAO: KSHD, FAA LID: SHD) is a public airport located 10 nautical miles (12 mi, 19 km) northeast of the central business district of Staunton, a city in Augusta County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBA, ICAO: KSBA, FAA LID: SBA) is a public airport 7 mi west of downtown Santa Barbara, California, United States.","[Shenandoah Valley Regional Airport] Shenandoah Valley Regional Airport (IATA: HDY, ICAO: KSDT, FAA LID: SDT) is a public airport located three nautical miles (5.6 km) northwest of the central business district of Harrisonburg, in Rockingham County, Virginia, United States. [Santa Barbara Municipal Airport] Santa Barbara Municipal Airport (IATA: SBM, ICAO: KSBM, FAA LID: SBM) is a public airport located three nautical miles (5.6 km) northwest of the central business district of Santa Barbara, in Santa Barbara County, California, United States.",2,SUPPORTS,"Shenandoah Valley Regional Airport, Santa Barbara Municipal Airport",0.9509166479110718,0.9366623163223267,0.943735659122467
