True Evidence,Generated Evidence,Hops,Label,Topics
"[Tura Beach, New South Wales] Tura Beach is suburb of Merimbula, on the South Coast of New South Wales, Australia, in the Bega Valley Shire local government area. [Merimbula] At the 2016 census , the population was 3,544. [Elwood Zimmerman] Elwood Curtin Zimmerman (born in Spokane, Washington on December 8, 1912; died in Tura Beach, New South Wales on June 18, 2004) was an American entomologist best known for his two multivolume series: ""Insects of Hawaii"" published by the University of Hawaiʻ i Press and ""Australian Weevils (Coleoptera: Curculionoidea)"" published by Australia's CSIRO.","[Elwood Zimmerman] Elwood Zimmerman (March 20, 1924 – May 16, 2006) was an American entomologist who was born in the town of Honesdale, Pennsylvania, in the United States. [Honesdale] Honesdale is a borough in northeastern Pennsylvania. The population was 4,741 at the 2010 census. [Honesdale (township)] Honesdale Township is a township in Wayne County, Pennsylvania, United States. The population was 3,544 at the 2016 census.",3,REFUTES,"Merimbula, Elwood Zimmerman, Tura Beach, New South Wales"
"[Frailea] Frailea is a genus of globular to short cylindrical cacti native to Brazil. [Cyathodes] Cyathodes is a genus of shrubs within the heath family. [Frailea castanea] Frailea castanea is a species of Frailea found in Argentina, Brazil and Uruguay.",[Cyathodes] Cyathodes is a genus of flowering plants in the family Asteraceae. [Frailea castanea] Frailea castanea is a species of flowering plant in the family Asteraceae.,3,REFUTES,"Cyathodes, Frailea, Frailea castanea"
"[Lulu (opera)] Theodor W. Adorno wrote ""The opera ""Lulu"" is one of those works that reveals the extent of its quality the longer and more deeply one immerses oneself in it."" [Theodor W. Adorno] Theodor W. Adorno ( ; ] ; born Theodor Ludwig Wiesengrund; September 11, 1903 – August 6, 1969) was a German philosopher, sociologist, and composer known for his critical theory of society. [Donald Gramm] "" Among the most notable of his many operatic roles were the title role in Verdi's ""Falstaff"", Leporello in Mozart's ""Don Giovanni"", and Dr. Schön and Jack the Ripper in Berg's ""Lulu"".","[Theodor W. Adorno] Theodor W. Adorno (] ; 11 September 1903 – 6 August 1969) was a German philosopher, sociologist, and composer. [Donald Gramm] Donald Gramm (born May 18, 1948) is an American actor and writer. [The opera] The opera is a 1980 American experimental musical film directed by Robert Longo and written by Robert Longo and Donald Gramm.",3,REFUTES,"Donald Gramm, Theodor W. Adorno, Lulu (opera)"
"[Steyr Mannlicher] Originally part of Steyr-Daimler-Puch, it became independent when the conglomerate was broken up in 1989. [Steyr-Daimler-Puch] Steyr-Daimler-Puch was a large manufacturing conglomerate based in Steyr, Austria, which was broken up in stages between 1987 and 2001. [Steyr SSG 08] The Steyr SSG 08 (German: Scharfschützengewehr 2008, English: Sniper Rifle 08) is a modern bolt-action sniper rifle developed and produced by Steyr Mannlicher in Austria.",2001: The company was renamed to Steyr Arms. 1987: The company was renamed to Steyr-Daimler-Puch. 1972: The company was renamed to Steyr-Daimler-Puch-Spezialmaschinen-Austria. 1951: The company was renamed to Steyr-Daimler-Puch. 1932: The company was renamed to Steyr-Daimler-Motoren-Gesellschaft. 1910: The company was renamed to Steyr-Werke-Gesellschaft. 1864: The company was founded as Steyr-Werke.,3,REFUTES,"Steyr SSG 08, Steyr-Daimler-Puch, Steyr Mannlicher"
"[Andrew Stanton] His film work includes writing and directing Pixar's ""A Bug's Life"" (1998) (as co-director), ""Finding Nemo"" (2003), and ""WALL-E"" (2008), and the live-action film, Disney's ""John Carter"" (2012). [A Bug's Life] Directed by John Lasseter, the film involves a misfit ant named Flik that is looking for ""tough warriors"" to save his colony from greedy grasshoppers, only to recruit a group of bugs that turn out to be an inept circus troupe. [Finding Dory] Directed by Andrew Stanton with co-direction by Angus MacLane, the screenplay was written by Stanton and Victoria Strouse.","[Finding Dory] Finding Dory is a 2016 American 3D computer-animated comedy adventure film directed by Andrew Stanton, written by Andrew Stanton, Victoria Strouse, and Robert Ben Garant, and produced by Pixar Animation Studios and Walt Disney Pictures. [A Bug's Life] A Bug's Life is a 1998 American computer-animated adventure comedy film produced by Pixar Animation Studios and released by Walt Disney Pictures. The film was directed by John Lasseter and co-directed by Andrew Stanton and Peter Docter, and was the first Pixar film released by Walt Disney Pictures. [Andrew Stanton] Andrew Stanton (born September 3, 1965) is an American director, screenwriter, producer, and voice actor. [Andrew Stanton] He is known for his work in animated films such as Toy Story (1995), A Bug's Life (1998), Finding Nemo (2003), and Wall-E (2008).",3,REFUTES,"Finding Dory, A Bug's Life, Andrew Stanton"
"[Yorkshire Terrier] The Yorkshire Terrier is a small dog breed of terrier type, developed during the 19th century in Yorkshire, England, to catch rats in clothing mills. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a small spaniel classed as a toy dog by The Kennel Club and the American Kennel Club. [Hypoplasia of dens] It is more commonly seen in certain breeds, including the Chihuahua, the Papillon, the Pointer and the Yorkshire Terrier.","[Kennel Club of dens] Kennel Club of dens is a 1957 British short documentary film directed by John Halas and John Jacobs. [Cavalier King Charles Spaniel] The Cavalier King Charles Spaniel is a breed of dog of the Spaniel type that is characterized by its ""merry"" temperament. [Kennel Club of dens] The Kennel Club of dens is a 1957 British short documentary film directed by John Halas and John Jacobs. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film won the Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens] The film was nominated for an Academy Award for Best Documentary Short. [Kennel Club of dens",3,REFUTES,"Yorkshire Terrier, Hypoplasia of dens, Cavalier King Charles Spaniel"
"[Eddie Cahill] Edmund Patrick ""Eddie"" Cahill (born January 15, 1978) is an American actor best known for portraying ""Miracle on Ice"" goalie Jim Craig in the movie ""Miracle"", and for playing the roles of Tag Jones on ""Friends"" and Detective Don Flack on ""."" [Jim Craig (ice hockey)] James Downey Craig (born May 31, 1957) is a retired American ice hockey goaltender who is most notable for being part of the 1980 U.S. Olympic hockey team that won the Olympic gold medal at the Lake Placid Winter Games. [Glory Days (2002 TV series)] The series was created by Kevin Williamson, and stars Eddie Cahill and Poppy Montgomery.","[Mike Liut] Mike Liut (born November 27, 1955) is a Canadian former professional ice hockey goaltender who played 17 games in the National Hockey League (NHL) for the New York Rangers and Detroit Red Wings between 1978 and 1981. [Glory Days] Glory Days is an American sitcom that aired on NBC from September 24, 2002, to May 15, 2005. [Mike Liut] The series was based on the 1998 film of the same name. [Mike Liut] The series was created by the film's director James Foley, and the cast was made up of mostly the film's cast. [Mike Liut] The series was canceled after three seasons due to low ratings. [Mike Liut] The series was filmed in Los Angeles, California. [Mike Liut] The show is about a group of former high school classmates who get together for their high school reunion. [Mike Liut] The series starred Scott Foley, Scott Wolf, and Sean William Scott. [Mike Liut] The series was produced by Touchstone Television. [Mike Liut] The series was filmed in Los Angeles, California. [Mike Liut] The show is about a group of former high school classmates who get together for their high school reunion. [Mike Liut] The series starred Scott Foley, Scott Wolf, and Sean William Scott. [Mike Liut] The series was produced by Touchstone Television. [Mike Liut] The series was filmed in Los Angeles, California. [Mike Liut] The show is about a group of former high school classmates who get together for their high school reunion. [Mike Liut] The series starred Scott Foley, Scott Wolf, and Sean William Scott. [Mike Liut] The series was produced by Touchstone Television. [Mike Liut] The series was filmed in Los Angeles, California. [Mike Liut] The show is about a group of former high school classmates who get together for their high school reunion. [Mike Liut] The series starred Scott Foley, Scott Wolf,",3,REFUTES,"Eddie Cahill, Jim Craig (ice hockey), Glory Days (2002 TV series)"
"[Excuse My French (album)] Excuse My French is the debut studio album by American rapper French Montana. [Excuse My French (album)] The album features guest appearances from Diddy, Nicki Minaj, Drake, Ace Hood, Lil Wayne, Birdman, The Weeknd, Rick Ross, 2 Chainz, Max B, Ne-Yo, Machine Gun Kelly, Raekwon, Scarface and Snoop Dogg, among others. [Machine Gun Kelly (rapper)] Richard Colson Baker (born April 22, 1990), better known by his stage names MGK and Machine Gun Kelly, is an American rapper and actor, from Cleveland, Ohio. [Pop That] Released as the first single from his debut studio album ""Excuse My French"" (2013), it features guest appearances from fellow rappers Rick Ross, Drake and Lil Wayne.","[Katy Perry] Katy Perry (born Katheryn Elizabeth Hudson on October 25, 1984) is an American singer, songwriter, actress, and television personality. She was born in Santa Barbara, California, to pastor and gospel singer Mary Christine Hudson (née Perry) and pastor and gospel musician Maurice Eben Hudson. [Pop That] Pop That is a song by American singer Katy Perry from her fourth studio album, Teenage Dream (2010). It was written by Perry, Bonnie McKee, and Dr. Luke, with production handled by the latter. [Pop That] The song was released on May 11, 2011, as the third single from the album. [Pop That] The song was a moderate success, peaking at number 12 on the Billboard Hot 100 and number 13 on the UK Singles Chart. [Pop That] The song was certified platinum by the Recording Industry Association of America (RIAA) for shipments of one million copies. [Pop That] The song was nominated for a Grammy Award for Best Female Pop Vocal Performance. [Pop That] The song was certified platinum by the Australian Recording Industry Association (ARIA) for shipments of 70,000 copies. [Pop That] The song was certified platinum by Music Canada (MC) for shipments of 80,000 copies. [Pop That] The song was certified platinum by the British Phonographic Industry (BPI) for shipments of 600,000 copies. [Pop That] The song was certified platinum by the Recording Industry Association of New Zealand (RIANZ) for shipments of 15,000 copies. [Pop That] The song was certified platinum by the International Federation of the Phonographic Industry (IFPI) for shipments of 20,000 copies. [Pop That] The song was certified platinum by the Polish Society of the Phonographic Industry (ZPAV) for shipments of 100,000 copies. [Pop That] The song was certified platinum by the Syndicat National de l’Édition Phonographique (S",3,REFUTES,"Excuse My French (album), Pop That, Machine Gun Kelly (rapper)"
"[2014 in video gaming] In addition, it saw the release of many new intellectual properties, such as ""Destiny"", ""Five Nights at Freddy's,"" ""Sunset Overdrive"", ""Titanfall"", ""The Evil Within"" and ""Watch Dogs"". [Five Nights at Freddy's (video game)] The game centers around a fictional pizza restaurant called ""Freddy Fazbear's Pizza"", where the player must act as a night security guard, defending themselves from the malfunctioning, haunted animatronic characters by tracking their movement through the facility using security cameras. [Five Nights at Freddy's 2] It is the second game in the ""Five Nights at Freddy's"" series, and is chronologically set before the events of the first game.",2014: [Five Nights at Freddy's] Five Nights at Freddy's is a 2014 survival horror video game developed and published by Scott Cawthon. [Five Nights at Freddy's 2] Five Nights at Freddy's 2 is a 2014 survival horror video game developed and published by Scott Cawthon. [Five Nights at Freddy's 3] Five Nights at Freddy's 3 is a 2015 survival horror video game developed and published by Scott Cawthon. [Five Nights at Freddy's 4] Five Nights at Freddy's 4 is a 2015 survival horror video game developed and published by Scott Cawthon. [Five Nights at Freddy's 5] Five Nights at Freddy's 5 is a 2016 survival horror video game developed and published by Scott Cawthon. [Five Nights at Freddy's 6] Five Nights at Freddy's 6 is a 2017 survival horror video game developed and published by Scott Cawthon.,3,REFUTES,"2014 in video gaming, Five Nights at Freddy's 2, Five Nights at Freddy's (video game)"
"[Conspirare] Conspirare has commissioned works from composers including David Lang, Tarik O'Regan, Jocelyn Hagen, Donald Grantham, Eric Whitacre, Nico Muhly, Mark Adamo, Robert Kyr, Jake Heggie, Eric Banks, and Jake Runestad. [Eric Whitacre] Eric Edward Whitacre (born January2, 1970) is a Grammy-winning American composer, conductor, and speaker, known for his choral, orchestral and wind ensemble music. [Eric Whitacre] He is also known for his ""Virtual Choir"" projects, bringing individual voices from around the globe together into an online choir. [Tarik O'Regan: Threshold of Night] Tarik O'Regan: Threshold of Night is the third release by the choral group Conspirare and the second recording of the work of Tarik O'Regan.","[Eric Whitacre] Eric Edward Whitacre (born March 2, 1970) is an American composer, conductor, and speaker, best known for his choral works. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whitacre] He is also the conductor of the Eric Whitacre Singers, a choir of 20-25 voices based in Los Angeles. [Eric Whit",3,REFUTES,"Eric Whitacre, Conspirare, Tarik O'Regan: Threshold of Night"
